,block,slot
0,1,22
1,2,19
2,3,17
3,4,23
4,5,6
5,6,21
6,7,4
7,8,7
8,9,13
9,10,16
10,11,20
11,12,12
12,13,18
13,14,10
14,15,3
15,16,15
16,17,1
17,18,14
18,19,9
19,20,8
20,21,11
21,22,24
22,23,5
23,24,2
