,block,slot
0,1,17
1,2,20
2,3,2
3,4,13
4,5,6
5,6,8
6,7,14
7,8,5
8,9,22
9,10,3
10,11,15
11,12,9
12,13,12
13,14,18
14,15,10
15,16,7
16,17,1
17,18,16
18,19,19
19,20,24
20,21,4
21,22,23
22,23,11
23,24,21
