,block,slot
0,1,8
1,2,1
2,3,13
3,4,21
4,5,11
5,6,15
6,7,6
7,8,9
8,9,12
9,10,17
10,11,10
11,12,5
12,13,22
13,14,7
14,15,18
15,16,20
16,17,16
17,18,4
18,19,23
19,20,2
20,21,14
21,22,19
22,23,3
23,24,24
