block,slot
16,1
18,2
10,3
17,4
15,5
12,6
8,7
20,8
9,9
7,10
3,11
11,12
19,13
14,14
13,15
22,16
2,17
5,18
4,19
21,20
1,21
23,22
6,23
24,24
