block,slot
11,1
10,2
20,3
14,4
8,5
19,6
17,7
13,8
12,9
21,10
1,11
6,12
15,13
5,14
18,15
22,16
4,17
23,18
16,19
2,20
9,21
7,22
3,23
24,24
