,block,slot
0,1,2
1,2,11
2,3,18
3,4,3
4,5,19
5,6,5
6,7,17
7,8,13
8,9,15
9,10,6
10,11,1
11,12,8
12,13,7
13,14,4
14,15,10
15,16,24
16,17,20
17,18,21
18,19,23
19,20,12
20,21,22
21,22,14
22,23,9
23,24,16
