,block,slot
0,1,8
1,2,24
2,3,9
3,4,22
4,5,15
5,6,21
6,7,7
7,8,16
8,9,10
9,10,13
10,11,14
11,12,5
12,13,6
13,14,11
14,15,17
15,16,19
16,17,1
17,18,3
18,19,4
19,20,12
20,21,20
21,22,2
22,23,18
23,24,23
