block,slot
10,1
6,2
20,3
14,4
19,5
5,6
12,7
15,8
16,9
17,10
8,11
7,12
9,13
4,14
3,15
18,16
22,17
11,18
23,19
13,20
2,21
21,22
1,23
24,24
