,block,slot
0,1,11
1,2,10
2,3,22
3,4,13
4,5,20
5,6,23
6,7,19
7,8,21
8,9,14
9,10,17
10,11,16
11,12,18
12,13,6
13,14,8
14,15,4
15,16,5
16,17,7
17,18,15
18,19,12
19,20,9
20,21,1
21,22,24
22,23,2
23,24,3
