,block,slot
0,1,1
1,2,24
2,3,13
3,4,12
4,5,8
5,6,9
6,7,18
7,8,17
8,9,16
9,10,15
10,11,14
11,12,5
12,13,4
13,14,2
14,15,10
15,16,11
16,17,6
17,18,7
18,19,3
19,20,19
20,21,20
21,22,21
22,23,22
23,24,23
