block,slot
4,1
7,2
20,3
15,4
1,5
12,6
9,7
17,8
6,9
18,10
13,11
16,12
5,13
19,14
10,15
22,16
8,17
11,18
23,19
14,20
3,21
21,22
2,23
24,24
