block,slot
9,1
13,2
10,3
7,4
4,5
11,6
14,7
2,8
1,9
17,10
20,11
16,12
6,13
18,14
15,15
12,16
21,17
5,18
23,19
19,20
8,21
22,22
3,23
24,24
