block,slot
20,1
9,2
6,3
16,4
1,5
13,6
15,7
5,8
18,9
10,10
17,11
12,12
8,13
3,14
11,15
19,16
7,17
4,18
22,19
2,20
21,21
14,22
23,23
24,24
