,block,slot
0,1,4
1,2,22
2,3,2
3,4,21
4,5,15
5,6,16
6,7,17
7,8,20
8,9,12
9,10,9
10,11,23
11,12,24
12,13,7
13,14,18
14,15,5
15,16,8
16,17,11
17,18,14
18,19,10
19,20,1
20,21,6
21,22,19
22,23,13
23,24,3
