,block,slot
0,1,18
1,2,12
2,3,8
3,4,23
4,5,5
5,6,3
6,7,6
7,8,9
8,9,19
9,10,16
10,11,17
11,12,15
12,13,20
13,14,4
14,15,14
15,16,11
16,17,21
17,18,7
18,19,22
19,20,24
20,21,1
21,22,10
22,23,13
23,24,2
