block,slot
3,1
6,2
13,3
15,4
19,5
11,6
17,7
7,8
16,9
5,10
2,11
14,12
12,13
1,14
8,15
21,16
4,17
22,18
10,19
9,20
18,21
20,22
23,23
24,24
