,block,slot
0,1,13
1,2,14
2,3,6
3,4,21
4,5,10
5,6,19
6,7,9
7,8,22
8,9,8
9,10,18
10,11,15
11,12,5
12,13,11
13,14,20
14,15,16
15,16,17
16,17,7
17,18,24
18,19,12
19,20,23
20,21,2
21,22,3
22,23,4
23,24,1
