,block,slot
0,1,22
1,2,11
2,3,10
3,4,8
4,5,9
5,6,21
6,7,6
7,8,18
8,9,2
9,10,15
10,11,12
11,12,7
12,13,16
13,14,13
14,15,14
15,16,5
16,17,4
17,18,23
18,19,3
19,20,19
20,21,17
21,22,20
22,23,24
23,24,1
