,block,slot
0,1,13
1,2,10
2,3,7
3,4,12
4,5,18
5,6,20
6,7,2
7,8,1
8,9,16
9,10,6
10,11,5
11,12,4
12,13,11
13,14,15
14,15,19
15,16,9
16,17,3
17,18,14
18,19,17
19,20,22
20,21,8
21,22,24
22,23,23
23,24,21
