,block,slot
0,1,20
1,2,14
2,3,4
3,4,15
4,5,17
5,6,16
6,7,23
7,8,9
8,9,22
9,10,7
10,11,6
11,12,8
12,13,12
13,14,5
14,15,18
15,16,24
16,17,3
17,18,19
18,19,10
19,20,1
20,21,21
21,22,11
22,23,13
23,24,2
