block,slot
9,1
10,2
8,3
19,4
22,5
11,6
21,7
6,8
18,9
2,10
15,11
12,12
7,13
16,14
13,15
14,16
5,17
4,18
23,19
1,20
17,21
20,22
3,23
24,24
