,block,slot
0,1,18
1,2,14
2,3,15
3,4,5
4,5,16
5,6,7
6,7,9
7,8,10
8,9,12
9,10,20
10,11,4
11,12,13
12,13,8
13,14,6
14,15,2
15,16,19
16,17,11
17,18,23
18,19,1
19,20,22
20,21,3
21,22,24
22,23,17
23,24,21
