,block,slot
0,1,12
1,2,10
2,3,20
3,4,5
4,5,17
5,6,13
6,7,18
7,8,3
8,9,19
9,10,2
10,11,11
11,12,4
12,13,6
13,14,1
14,15,8
15,16,21
16,17,9
17,18,7
18,19,24
19,20,14
20,21,15
21,22,22
22,23,16
23,24,23
