block,slot
6,1
9,2
12,3
2,4
18,5
3,6
7,7
16,8
15,9
1,10
11,11
10,12
5,13
17,14
14,15
21,16
13,17
4,18
23,19
8,20
22,21
20,22
19,23
24,24
