,block,slot
0,1,12
1,2,19
2,3,21
3,4,11
4,5,8
5,6,4
6,7,18
7,8,9
8,9,2
9,10,15
10,11,5
11,12,13
12,13,1
13,14,7
14,15,16
15,16,17
16,17,10
17,18,3
18,19,6
19,20,23
20,21,14
21,22,22
22,23,20
23,24,24
