,block,slot
0,1,14
1,2,20
2,3,24
3,4,23
4,5,11
5,6,7
6,7,4
7,8,19
8,9,17
9,10,15
10,11,6
11,12,8
12,13,10
13,14,12
14,15,13
15,16,5
16,17,18
17,18,1
18,19,16
19,20,2
20,21,22
21,22,9
22,23,3
23,24,21
