,block,slot
0,1,7
1,2,9
2,3,12
3,4,17
4,5,1
5,6,19
6,7,14
7,8,16
8,9,23
9,10,8
10,11,21
11,12,18
12,13,10
13,14,13
14,15,20
15,16,22
16,17,15
17,18,3
18,19,5
19,20,6
20,21,11
21,22,24
22,23,4
23,24,2
