,block,slot
0,1,1
1,2,24
2,3,18
3,4,17
4,5,16
5,6,12
6,7,8
7,8,9
8,9,10
9,10,11
10,11,13
11,12,15
12,13,14
13,14,2
14,15,4
15,16,5
16,17,6
17,18,7
18,19,3
19,20,19
20,21,20
21,22,21
22,23,22
23,24,23
