block,slot
20,1
19,2
13,3
23,4
18,5
12,6
21,7
1,8
6,9
9,10
22,11
8,12
5,13
7,14
17,15
4,16
3,17
2,18
15,19
11,20
16,21
14,22
10,23
24,24
