,block,slot
0,1,21
1,2,6
2,3,13
3,4,3
4,5,12
5,6,20
6,7,8
7,8,22
8,9,18
9,10,14
10,11,5
11,12,10
12,13,7
13,14,9
14,15,16
15,16,19
16,17,11
17,18,24
18,19,4
19,20,15
20,21,17
21,22,23
22,23,2
23,24,1
