block,slot
7,1
17,2
3,3
4,4
11,5
15,6
9,7
18,8
20,9
5,10
13,11
22,12
16,13
10,14
23,15
2,16
12,17
1,18
14,19
8,20
19,21
21,22
6,23
24,24
