exam,courses
1-0295C,['PHYS-2217']
1-0305C,['PHYS-4445']
1-0337C,['SPAN-2170']
1-0363C,['PHYS-4454']
1-0429C,['BME-4010']
1-0447C,['MSE-2610']
1-0454C,['MSE-4020']
1-0455C,['MSE-3010']
1-0487C,['EAS-3030']
1-0529C,['ENGRD-2100']
1-0541C,['ENGRD-2300']
1-0582C,['BEE-2510']
1-0584C,['BEE-2600']
1-0598C,['BIOAP-3110']
1-0677C,['BTRY-3010']
1-0691C,['COMM-2450']
1-0708C,['CS-2110']
1-0754C,['BIOMS-4090']
1-0916C,['ORIE-3300']
1-0917C,['BIONB-2210']
1-0918C,['ORIE-3500']
1-0983C,['BIOMI-2900']
1-0984C,['STSCI-3100']
1-0997C,['PLSCI-2110']
1-10018,['HADM-7144']
1-10042,['ASTRO-1195']
1-10043,['ANSC-2500']
1-1005,['ANSC-2120']
1-10217,['POLSH-2033']
1-1025,['PLSCI-1900']
1-10294,['ARTH-2600']
1-10305,['MATH-4370']
1-1035,['BIOMG-2800']
1-1047,['ENTOM-2120']
1-10622,['FREN-3120']
1-1067,['FDSC-3950']
1-1070C,['ILRST-2100']
1-10725,['ECE-6210']
1-10800,['ILRLE-2400']
1-10808,['ILRGL-2050']
1-10823,['ENGRC-3025']
1-10882,['ILRGL-4820']
1-10919,['ANSC-1500']
1-10952,['GDEV-6820']
1-10960,['CHEM-2080']
1-10981,['MATH-3270']
1-1099C,['BTRY-6010']
1-11026,['FSAD-4660']
1-11045,['AEM-2050']
1-11121,['BIOMI-1120']
1-11132,['ECON-4903']
1-11189,['MSE-5210']
1-1119,['PLSCI-2410']
1-11205,['ILRGL-2050']
1-11209,['PUBPOL-5570']
1-1131C,['BIOMG-3300']
1-1136,['COMM-2200']
1-11388,['MAE-3870']
1-11438,['HADM-2221']
1-1152,['FDSC-1101']
1-11522,['ENGRC-3026']
1-11523,['ENGRC-3026']
1-11533,['ENGRC-3027']
1-11534,['ENGRC-3027']
1-1166,['COMM-1101']
1-1176,['PLSCI-1101']
1-12345,['AEM-2241']
1-1367C,['ANSC-4270']
1-1466C,['BME-6210']
1-1514C,['AIIS-1100']
1-1530C,['EAS-1540']
1-1633C,['ECON-2040']
1-1636C,['VIEN-2204']
1-1655,['BIOAP-1100']
1-1687,['BIOG-1440']
1-1712,['BIOG-1140']
1-1763,['BIOEE-3610']
1-17927,['GERST-6310']
1-17959,['NS-4410']
1-17965,['ASTRO-3303']
1-17969,['BIONB-4320']
1-17970,['BIOEE-4570']
1-17979,['BIONB-4720']
1-18045,['HIST-1600']
1-18266,['CHEM-3580']
1-18369,['ENGRC-3700']
1-18370,['ENGRC-3500']
1-18412,['ILRGL-3020']
1-18435,['PHIL-2410']
1-18469,['ILRGL-2350']
1-18507,['ILRID-1525']
1-18620,['ECON-4610']
1-18635,['NTRES-3220']
1-18770,['MUSIC-3111']
1-18794,['HADM-4260']
1-18816,['HADM-7230']
1-18869,['ENGRG-3605']
1-1887,['VIEN-1104']
1-18927,['ECON-4907']
1-18952,['SYSEN-5440']
1-18953,['SYSEN-5440']
1-18956,['ILRGL-5000']
1-18973,['ECON-4010']
1-18987,['ENTOM-4520']
1-19067,['ECON-4410']
1-19068,['ECON-4545']
1-19069,['ASL-3201']
1-19093,['HIST-2631']
1-19108,['HADM-7273']
1-19109,['HADM-7273']
1-19121,['MATH-2310']
1-19133,['HADM-6200']
1-19192,['PHIL-2260']
1-19257,['CS-4414']
1-1958,['COMM-3010']
1-1959,['COMM-3010']
1-19627,['MAE-5310']
1-1964C,['ENGRI-1200']
1-19755,['PSYCH-2450']
1-19851,['COMM-1300']
1-19859,['PLSCI-5015']
1-19884,['CS-5414']
1-19891,['AEM-2241']
1-19987,['CHEME-5310']
1-19989,['SWED-1210']
1-20040,['ENGRG-3900']
1-20045,['ECON-7510']
1-20046,['CHEM-7910']
1-2006,['ANSC-2650']
1-20065,['CHEM-7960']
1-20068,['ILRID-1700']
1-20077,['BME-5850']
1-20081,['GOVT-3061']
1-20100,['CHEM-6660']
1-20124,['FREN-2070']
1-20138,['BME-6120']
1-2028,['PLSCI-3100']
1-20283,['MAE-5430']
1-20780,['CEE-5770']
1-2083,['PLSCI-2200']
1-21180,['ECE-5970']
1-21411,['EAS-6920']
1-2192,['LA-6910']
1-2272C,['CS-4320']
1-2275,['GDEV-1102']
1-2292C,['ENGRD-2210']
1-2318,['PLSCI-3440']
1-2322,['PLSCI-2480']
1-2364C,['STSCI-3080']
1-2429,['PLSCI-6831']
1-2432C,['ENGRI-1170']
1-2485C,['ARCH-1611']
1-2523C,['MAE-6010']
1-2699,['ARCH-5614']
1-2742C,['ECE-4750']
1-2829,['ARCH-5402']
1-3026,['ECON-1110']
1-3037,['ECON-1110']
1-3047,['ECON-1120']
1-3051,['ECON-3040']
1-3056,['ECON-3130']
1-3075,['ECON-6090']
1-3077,['ECON-6130']
1-3079,['ECON-6170']
1-3081,['ECON-6190']
1-3099,['INDO-1121']
1-3100,['INDO-2201']
1-3117,['KOREA-2201']
1-3135,['CHEM-2150']
1-3141,['TAG-1121']
1-3142,['TAG-2201']
1-3152,['CHEM-2510']
1-3162,['CHEM-3870']
1-3174C,['ILRST-3110']
1-3182,['CHEM-6050']
1-3186,['PSYCH-1101']
1-3216,['MATH-1710']
1-3246C,['SOC-2220']
1-3254,['MATH-2220']
1-3257,['MATH-2230']
1-3300,['MATH-4330']
1-3301,['MATH-4530']
1-3302,['MATH-4710']
1-3309,['MATH-6520']
1-3356,['LING-3303']
1-3364,['PHIL-1100']
1-3369,['RUSSA-1125']
1-3371,['RUSSA-3305']
1-3380,['BURM-1121']
1-3405,['PHYS-1116']
1-3469,['PHYS-2218']
1-3472,['PHYS-3316']
1-3477,['PHYS-3327']
1-3489,['PHYS-6561']
1-3491,['PHYS-7635']
