student,exams
006cf48d5259bfa4f91ccd6a4c00c47e6359350246c6a2834c23cfa4ddfe4854,"['1-1035', 'MLG65']"
006ebfcf9e7dbb6b3d963b5a61bfc62cabfd9072322dc3c2e9310cb355cd6a11,"['1-9340', 'MLG17']"
0070e3d49ee9f5df162c72026fcc6b54751b46c1af415d9c939fa4330c72f540,"['1-0691', '1-6957']"
00761bb60c55b593bac398a636b091a24dac132ee6534c21c76ff03699a6453a,"['MLG06', 'MLG13']"
0078aca599dd7ad9c458f3e65eb66468b948055cc3c50fba651156843c8259b0,['MLG03']
007a8407b377fe6e9ee35eb03e8d1541327b4565a74eb7dc55833637d44cba1b,"['1-1530', '1-6569', '1-3056']"
007b96f353ac3782dff701aad7b681513e4afb08a8f3d61c9a709c8ad012fa93,"['MLG67', '1-8484', '1-1166']"
0085f6e07acbd578b7886c1d0ecc647035040e6d271cb25b86395b8776c95227,"['1-8567', '1-9365']"
008a6749a082fb19c0a42cb6591bcef48a47f7e9eedcabed7ab1dd365c44d0f2,"['1-7579', '1-7589', '1-20068']"
008abaae6882b76c899c77434b16b7a145cce59b177e994201e1615ab981c6d0,['1-7539']
008b08bc2b667673bc808e99e709edae4bd12ef1ae59e50fd5d2b7a99cb24b32,"['1-8630', 'MLG47', 'MLG48']"
008b1e1b6ea0f0bb4695d435e9d86f0c3f2e2c543cef4b20cd253172016f030d,['1-1099']
008d12eae342dcbe26971da1c00400719a527562d14bdfa9f0a07e4ca65153f4,"['1-5686', '1-8765', '7W2-12806']"
008d24c1993ea6acba387ebbc1a3f7d0c9d4926309ee6a16c50975808358ee16,"['MLG47', 'MLG48', '1-8629']"
00913fa3b16a1a5ab8babe27d2e80975fe0b319140c1638eca21721aa3081a3f,"['MLG62', 'MLG09']"
0097ac739edc15269a8584c3f4e39aedd8930182a029429f3c9b5e49960b0530,"['1-2272', '1-6214', '1-7348', '1-7993']"
009c91306b3dcca0a451d2b4c43cb9092a05b0637284fc80246163cc9501e757,"['1-5635', '1-6953']"
009ff7fc3859ecd964f56e9ac2f7a156a765a4844d584f5abb8fe9d77ff00cff,['1-8564']
