exam,size
1-0295,24
1-0305,12
1-0337,11
1-0363,34
1-0429,69
1-0447,65
1-0454,43
1-0455,60
1-0487,18
1-0529,124
1-0541,132
1-0582,70
1-0584,41
1-0598,122
1-0677,187
1-0691,450
1-0708,408
1-0754,41
1-0916,215
1-0917,134
1-0918,179
1-0983,195
1-0984,50
1-0997,33
1-10018,40
1-10042,21
1-10043,61
1-1005,122
1-10217,4
1-1025,48
1-10294,30
1-10305,28
1-1035,249
1-1047,39
1-10622,4
1-1067,17
1-1070,280
1-10725,27
1-10800,55
1-10808,54
1-10823,10
1-10882,14
1-10919,20
1-10952,9
1-10960,82
1-10981,34
1-1099,149
1-11026,21
1-11045,43
1-11121,18
1-11132,34
1-11189,53
1-1119,83
1-11205,56
1-11209,35
1-1131,200
1-1136,113
1-11388,28
1-11438,53
1-1152,112
1-11522,24
1-11523,24
1-11533,20
1-11534,12
1-1166,118
1-1176,69
1-12345,97
1-1367,66
1-1466,73
1-1514,64
1-1530,632
1-1633,399
1-1636,22
1-1655,132
1-1687,325
1-1712,157
1-1763,35
1-17927,9
1-17959,57
1-17965,10
1-17969,22
1-17970,36
1-17979,17
1-18045,109
1-18266,55
1-18369,7
1-18370,23
1-18412,56
1-18435,37
1-18469,54
1-18507,320
1-18620,60
1-18635,44
1-18770,10
1-18794,29
1-18816,44
1-18869,22
1-1887,119
1-18927,30
1-18952,14
1-18953,5
1-18956,49
1-18973,39
1-18987,34
1-19067,8
1-19068,77
1-19069,11
1-19093,36
1-19108,16
1-19109,30
1-19121,75
1-19133,58
1-19192,5
1-19257,246
1-1958,25
1-1959,19
1-19627,21
1-1964,48
1-19755,517
1-19851,25
1-19859,12
1-19884,60
1-19891,95
1-19987,20
1-19989,4
1-20040,22
1-20045,45
1-20046,18
1-2006,40
1-20065,21
1-20068,45
1-20077,28
1-20081,20
1-20100,31
1-20124,3
1-20138,25
1-2028,20
1-20283,1
1-20780,12
1-2083,48
1-21180,1
1-21411,5
1-2192,22
1-2272,412
1-2275,130
1-2292,252
1-2318,13
1-2322,14
1-2364,88
1-2429,10
1-2432,50
1-2485,106
1-2523,14
1-2699,36
1-2742,154
1-2829,52
1-3026,570
1-3037,467
1-3047,360
1-3051,116
1-3056,250
1-3075,45
1-3077,41
1-3079,34
1-3081,42
1-3099,9
1-3100,4
1-3117,7
1-3135,101
1-3141,14
1-3142,4
1-3152,323
1-3162,35
1-3174,117
1-3182,20
1-3186,796
1-3216,38
1-3246,116
1-3254,68
1-3257,37
1-3300,29
1-3301,18
1-3302,52
1-3309,12
1-3356,28
1-3364,121
1-3369,8
1-3371,16
1-3380,2
1-3405,72
1-3469,40
1-3472,28
1-3477,46
1-3489,43
1-3491,33
1-3496,192
1-3509,150
1-3523,497
1-3631,13
1-3693,143
1-3699,9
1-3702,6
1-3717,89
1-3727,8
1-3733,16
1-3734,4
1-3739,2
1-4011,246
1-4136,20
1-4387,1
1-4394,190
1-4397,106
1-4413,9
1-4609,7
1-4618,1
1-4654,138
1-4766,249
1-4776,33
1-4874,224
1-5109,37
1-5140,10
1-5146,2
1-5154,19
1-5159,59
1-5185,59
1-5199,3
1-5221,21
1-5228,180
1-5271,12
1-5287,18
1-5303,4
1-5304,3
1-5314,9
1-5515,30
1-5531,199
1-5537,32
1-5568,47
1-5635,417
1-5642,166
1-5655,31
1-5686,59
1-5687,83
1-5696,80
1-5713,2
1-5714,1
1-5819,23
1-5873,3
1-5899,288
1-5965,6
1-6015,8
1-6029,26
1-6101,41
1-6166,117
1-6168,31
1-6199,30
1-6214,65
1-6249,64
1-6492,48
1-6494,48
1-6496,28
1-6501,107
1-6506,70
1-6511,144
1-6533,21
1-6543,36
1-6554,28
1-6558,24
1-6559,24
1-6568,394
1-6569,360
1-6591,79
1-6608,11
1-6625,67
1-6637,78
1-6654,66
1-6661,32
1-6677,94
1-6678,213
1-6684,145
1-6721,36
1-6727,235
1-6737,32
1-6764,38
1-6816,14
1-6835,36
1-6953,66
1-6957,338
1-7038,163
1-7057,105
1-7081,99
1-7083,17
1-7107,84
1-7146,18
1-7172,284
1-7178,8
1-7187,96
1-7297,13
1-7301,26
1-7302,240
1-7306,159
1-7326,42
1-7332,53
1-7348,43
1-7356,4
1-7390,43
1-7402,141
1-7403,58
1-7418,45
1-7425,352
1-7429,33
1-7430,17
1-7444,14
1-7449,25
1-7453,24
1-7456,32
1-7460,194
1-7462,336
