,crseId,subject,section,classNbr,timeStart,timeEnd,startDt,endDt,pattern,location,ssrComponentLong,catalog
0,351001,AAS,001,9740,02:55PM,04:10PM,01/21/2025,05/06/2025,MW,"Ithaca, NY (Main Campus)",Lecture,1100
1,351001,AAS,601,10937,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Project,1100
2,373325,AAS,101,17641,02:55PM,04:10PM,01/21/2025,05/06/2025,TR,"Ithaca, NY (Main Campus)",Seminar,2043
3,373325,AAS,601,17642,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,2043
4,374414,AAS,001,19387,02:55PM,04:10PM,01/21/2025,05/06/2025,TR,"Ithaca, NY (Main Campus)",Lecture,2295
5,369933,AAS,101,18302,02:00PM,04:30PM,01/21/2025,05/06/2025,T,"Ithaca, NY (Main Campus)",Seminar,3020
6,369933,AAS,601,18502,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,3020
7,371649,AAS,001,9722,01:25PM,02:40PM,01/21/2025,05/06/2025,TR,"Ithaca, NY (Main Campus)",Lecture,3885
8,373964,AAS,101,19381,11:40AM,12:55PM,01/21/2025,05/06/2025,TR,"Ithaca, NY (Main Campus)",Seminar,4567
9,373964,AAS,601,19382,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,4567
10,374353,AAS,101,20563,11:15AM,01:45PM,01/21/2025,05/06/2025,T,"Ithaca, NY (Main Campus)",Seminar,4699
11,351007,AAS,603,5045,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,4950
12,351007,AAS,604,10246,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,4950
13,351007,AAS,605,20124,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,4950
14,351007,AAS,606,20125,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,4950
15,374416,AAS,101,18798,04:30PM,07:00PM,01/21/2025,05/06/2025,W,"Ithaca, NY (Main Campus)",Seminar,6100
16,372829,AAS,604,20126,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,7200
17,372829,AAS,602,10078,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,7200
18,372829,AAS,603,10079,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,7200
19,372829,AAS,605,20127,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,7200
20,372830,AAS,601,10592,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,7300
21,372830,AAS,602,10593,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,7300
22,372830,AAS,603,20128,,,01/21/2025,05/06/2025,,"Ithaca, NY (Main Campus)",Independent Study,7300
