,Exam Group,Exam Block
0,72-0103,5
1,1-9185,16
2,MLG17,2
3,1-8222,1
4,1-6240,16
5,1-5549,13
6,1-8021,3
7,1-8767,3
8,1-8181,1
9,1-8020,7
10,1-7964,7
11,1-9722,14
12,MLG84,2
13,1-9805,10
14,1-6098,20
15,1-8093,9
16,1-9955,9
17,1-18603,9
18,1-3521,18
19,1-2596,9
20,1-5167,13
21,1-3519,10
22,1-7995,11
23,1-2025,5
24,1-7140,12
25,1-9607,19
26,1-9907,11
27,1-18409,6
28,1-10071,2
29,1-18735,16
30,1-8418,4
31,1-8938,2
32,1-0022,1
33,1-7991,11
34,1-6642,19
35,1-2869,6
36,1-2714,13
37,1-5508,15
38,1-2104,3
39,1-7467,6
40,1-7722,19
41,1-7509,1
42,1-1207,10
43,1-8705,8
44,1-5214,9
45,1-9444,5
46,1-8566,16
47,1-19547,5
48,1-0405,7
49,1-2178,10
50,1-8174,7
51,1-9925,6
52,72-12387,8
53,1-9850,3
54,1-8125,16
55,1-8095,8
56,1-5877,4
57,1-1224,6
58,1-17733,8
59,1-9331,12
60,1-18202,14
61,1-7341,11
62,1-9818,8
63,1-7066,15
64,1-9674,13
65,1-8659,18
66,1-7536,15
67,1-7481,8
68,1-7845,17
69,1-18498,7
70,1-2584,3
71,1-6532,11
72,1-9614,1
73,1-5355,4
74,1-8124,1
75,1-8401,11
76,1-8541,8
77,1-2153,1
78,1-4088,1
79,1-9739,9
80,1-9115,16
81,1-7770,4
82,1-17645,5
83,1-18423,6
84,1-18714,16
85,1-8084,20
86,1-9345,14
87,MLG35,12
88,1-5626,10
89,1-18004,11
90,1-19222,8
91,72-12171,16
92,1-7807,19
93,1-20003,1
94,1-3083,18
95,1-3312,13
96,MLG37,11
97,1-9237,1
98,1-8127,1
99,1-5775,1
100,1-19598,5
101,1-9892,2
102,1-3564,10
103,1-8820,13
104,1-8267,8
105,1-1258,3
106,MLG69,18
107,1-6971,19
108,1-9731,1
109,1-9768,15
110,72-18936,6
111,1-19897,5
112,1-10698,11
113,1-4499,8
114,1-7496,19
115,1-3178,1
116,1-20047,11
117,1-0358,16
118,1-6543,4
119,1-5929,13
120,1-10232,6
121,1-7070,17
122,MLG42,4
123,MLG55,14
124,1-8427,16
125,1-8622,10
126,1-8488,4
127,1-9643,15
128,1-19286,13
129,1-2573,15
130,1-1833,18
131,1-9283,16
132,1-9110,14
133,1-8576,12
134,1-9465,6
135,1-9712,8
