,Exam Group,Exam Block
0,1-6098,6
1,1-9227,14
2,1-6240,16
3,1-6181,9
4,MLG68,4
5,MLG57,16
6,MLG54,7
7,MLG69,3
8,1-10468,11
9,1-3523,17
10,MLG62,12
11,MLG56,8
12,1-7024,1
13,1-1258,1
14,1-1317,11
15,1-1580,17
16,1-7140,9
17,1-7004,5
18,MLG63,2
19,1-7863,1
20,1-8067,11
21,MLG02,9
22,MLG50,12
23,1-7866,17
24,1-3535,2
25,1-18028,3
26,1-18558,17
27,1-1608,15
28,1-7005,14
29,1-3534,10
30,1-10785,1
31,1-9156,15
32,1-7874,14
33,1-6296,9
34,MLG51,8
35,1-7496,5
36,MLG64,13
37,1-5775,12
38,1-4649,13
39,1-9768,7
40,1-7807,5
41,1-9283,3
42,1-8541,13
43,MLG14,12
44,1-0008,7
45,1-3596,3
46,1-2282,13
47,1-0303,1
48,MLG30,9
49,1-6974,7
50,1-7964,9
51,MLG65,3
52,1-7122,20
53,1-8341,14
54,1-1350,18
55,1-1462,14
56,1-8427,3
57,MLG75,4
58,MLG49,20
59,1-8573,21
60,1-3068,5
61,1-6927,11
62,1-6878,10
63,1-3052,14
64,MLG29,6
65,1-4319,11
66,MLG48,19
67,1-3516,5
68,1-1015,8
69,MLG17,3
70,1-1224,20
71,1-4417,9
72,1-9497,6
73,MLG12,1
74,1-8074,20
75,1-2545,4
76,1-2335,20
77,1-9674,11
78,1-1570,18
79,1-0129,19
80,1-0053,6
81,1-7682,18
82,1-8188,21
83,MLG13,14
84,1-2382,21
85,1-1131,10
86,1-8910,19
87,1-3141,19
88,1-8267,21
89,1-9831,11
90,1-7070,18
91,1-9270,19
92,1-6980,13
93,MLG52,8
94,1-1005,6
95,1-5626,1
96,MLG09,18
97,1-1833,2
98,1-5043,19
99,1-8826,14
100,1-5172,2
101,1-18371,20
102,1-17907,5
103,1-3362,5
104,1-9394,20
105,1-7042,14
106,1-9963,19
107,MLG37,15
108,1-8328,17
109,1-7441,1
110,1-9137,20
111,1-0272,5
112,1-3447,13
113,1-7341,6
114,1-7152,5
115,1-8421,19
116,MLG08,3
117,1-7019,1
118,MLG15,4
119,1-9646,17
120,1-2670,11
121,1-9333,20
122,1-9404,11
123,1-11350,3
124,1-0292,21
125,1-1390,7
126,1-6693,6
127,1-5891,4
128,1-7897,20
129,1-4531,14
130,1-3139,14
131,1-9925,11
132,MLG55,20
133,MLG53,1
134,1-8659,21
135,MLG07,14
136,1-1769,11
137,1-6611,5
138,1-4640,7
139,MLG11,11
140,1-8066,9
141,1-8820,11
142,1-8084,6
143,1-9286,16
144,1-7058,2
145,1-9491,18
146,MLG78,21
147,1-2423,9
148,1-0278,18
149,1-5877,4
150,1-3083,17
151,MLG38,21
152,1-10038,2
153,1-9516,14
154,1-9417,11
155,1-8157,1
156,1-2294,8
157,1-17733,11
158,1-9808,9
159,1-6914,20
160,1-5197,11
161,1-8285,16
162,1-7614,13
163,1-6692,21
164,72-0103,14
165,MLG59,10
166,MLG58,12
167,72-12387,1
168,MLG45,7
169,1-7268,16
170,1-6594,14
171,1-9645,21
172,1-6900,1
173,1-1207,13
174,MLG41,21
175,1-19547,20
176,1-6561,18
177,1-9498,19
178,1-0405,8
179,1-7467,12
180,1-10539,15
181,MLG84,4
182,1-6647,20
183,1-19915,3
184,1-2701,17
185,1-2714,21
