,Exam Group,Exam Block
0,72-0103,14
1,1-9185,15
2,MLG17,5
3,1-8222,1
4,1-6240,3
5,1-5549,12
6,1-8021,8
7,1-8767,12
8,1-8181,1
9,1-8020,8
10,1-7964,18
11,1-9722,11
12,MLG84,20
13,1-9805,21
14,1-6098,1
15,1-8093,11
16,1-9955,3
17,1-18603,1
18,1-3521,4
19,1-2596,3
20,1-5167,11
21,1-3519,5
22,1-7995,14
23,1-2025,13
24,1-7140,4
25,1-9607,18
26,1-9907,4
27,1-18409,10
28,1-10071,8
29,1-18735,1
30,1-8418,11
31,1-8938,20
32,1-0022,8
33,1-7991,20
34,1-6642,7
35,1-2869,2
36,1-2714,20
37,1-5508,2
38,1-2104,19
39,1-7467,11
40,1-7722,6
41,1-7509,7
42,1-1207,19
43,1-8705,9
44,1-5214,6
45,1-9444,1
46,1-8566,1
47,1-19547,20
48,1-0405,4
49,1-2178,11
50,1-8174,12
51,1-9925,12
52,72-12387,10
53,1-9850,17
54,1-8125,8
55,1-8095,2
56,1-5877,5
57,1-1224,12
58,1-17733,12
59,1-9331,7
60,1-18202,8
61,1-7341,2
62,1-9818,14
63,1-7066,15
64,1-9674,12
65,1-8659,7
66,1-7536,3
67,1-7481,19
68,1-7845,8
69,1-18498,5
70,1-2584,18
71,1-6532,4
72,1-9614,1
73,1-5355,21
74,1-8124,18
75,1-8401,15
76,1-8541,11
77,1-2153,13
78,1-4088,2
79,1-9739,19
80,1-9115,13
81,1-7770,7
82,1-17645,7
83,1-18423,18
84,1-18714,13
85,1-8084,1
86,1-9345,1
87,MLG35,9
88,1-5626,21
89,1-18004,8
90,1-19222,4
91,72-12171,16
92,1-7807,6
93,1-20003,1
94,1-3083,5
95,1-3312,12
96,MLG37,9
97,1-9237,7
98,1-8127,7
99,1-5775,5
100,1-19598,1
101,1-9892,5
102,1-3564,21
103,1-8820,16
104,1-8267,14
105,1-1258,21
106,MLG69,5
107,1-6971,17
108,1-9731,5
109,1-9768,5
110,72-18936,17
111,1-19897,6
112,1-10698,7
113,1-4499,21
114,1-7496,6
115,1-3178,17
116,1-20047,1
117,1-0358,11
118,1-6543,9
119,1-5929,11
120,1-10232,11
121,1-7070,3
122,MLG42,3
123,MLG55,2
124,1-8427,3
125,1-8622,19
126,1-8488,8
127,1-9643,20
128,1-19286,9
129,1-2573,9
130,1-1833,17
131,1-9283,19
132,1-9110,9
133,1-8576,19
134,1-9465,4
135,1-9712,4
136,1-9549,10
137,1-1972,2
138,1-5515,3
139,1-7863,21
140,1-2294,16
141,MLG45,9
142,P-16454,5
143,1-8928,20
144,1-7744,10
145,MLG06,18
146,1-7453,1
147,1-17657,14
148,1-0001,5
149,MLG58,14
150,1-7005,13
151,1-9870,3
152,1-9500,5
153,1-1350,3
154,1-18994,18
155,1-9447,13
156,1-8634,3
157,1-6061,1
158,1-7599,14
159,1-10696,15
160,1-19813,4
161,MLG41,14
162,1-8067,12
163,1-9137,8
164,1-9740,4
165,1-7721,14
166,MLG40,9
167,1-4929,1
168,1-9655,4
169,1-9606,1
170,1-5043,21
171,1-8100,20
172,1-8573,12
173,1-9588,6
174,MLG38,16
175,1-4910,11
176,1-8042,16
177,1-10948,16
178,1-7525,13
179,1-4052,9
180,1-0037,21
181,1-8641,17
182,1-7752,19
183,1-9496,1
184,1-8074,8
185,1-8906,17
186,72-11994,16
187,1-7321,2
188,1-20167,1
189,1-9156,15
190,1-2382,7
191,1-8328,15
192,1-9770,7
193,1-9553,6
194,1-9253,19
195,1-2670,9
196,1-9646,1
197,1-8646,8
198,1-9839,9
199,MLG39,9
200,1-4634,15
201,1-9902,2
202,1-8988,4
203,1-1250,4
204,1-9733,10
205,1-8018,19
206,1-9752,2
207,1-7058,21
208,1-10468,12
209,1-9938,12
210,1-7842,8
211,1-5406,6
212,1-10922,4
213,1-18563,11
214,1-0053,1
215,1-19839,1
216,1-9887,18
217,1-9630,9
218,1-9416,7
219,1-5653,12
220,MLG73,10
221,1-8023,10
222,1-4149,13
223,1-0205,17
224,1-9227,13
225,1-9650,16
226,1-9996,2
227,1-3068,6
228,1-17835,10
229,1-4361,14
230,1-3089,10
231,1-8450,15
232,1-18371,7
233,MLG07,17
234,MLG29,1
235,1-8113,19
236,1-7024,19
237,1-9667,2
238,1-9855,19
239,1-7042,6
240,MLG33,11
241,1-19448,15
242,1-20791,5
243,1-1015,6
244,MLG57,2
245,1-6647,11
246,MLG56,20
247,1-20467,10
248,1-2400,18
249,1-6931,4
250,1-9333,18
251,1-7268,3
252,1-21195,8
253,1-4649,17
254,1-8379,1
255,1-9946,12
256,1-9277,13
257,1-9504,2
258,1-9516,13
259,1-3596,5
260,1-0129,21
261,1-1942,3
262,1-8623,8
263,1-6927,12
264,P-0009,7
265,1-11330,18
266,1-2103,2
267,1-6181,10
268,MLG44,14
269,1-7839,5
270,1-1390,7
271,1-7897,15
272,1-1570,21
273,1-3589,15
274,1-0033,1
275,1-3216,19
276,1-9495,12
277,1-4051,1
278,1-10762,1
279,MLG43,2
280,1-7608,4
281,1-9995,10
282,1-1608,15
283,1-3535,7
284,1-4136,14
285,1-18615,3
286,1-3587,20
287,1-9836,20
288,1-8590,5
289,1-1592,7
290,1-8341,13
291,MLG02,10
292,1-9997,2
293,1-8066,18
294,1-3509,10
295,1-3639,2
296,1-9404,12
297,1-8352,19
298,1-7019,3
299,MLG54,17
300,1-4020,3
301,1-1177,10
302,MLG51,20
303,1-8157,15
304,1-19004,10
305,1-7866,11
306,1-18377,20
307,1-5530,19
308,1-6743,7
309,1-3516,6
310,1-4855,3
311,1-20578,15
312,1-3108,5
313,1-7521,7
314,1-3139,13
315,1-1769,12
316,1-7441,21
317,1-10978,13
318,1-2324,15
319,1-3584,1
320,MLG13,13
321,1-5172,21
322,1-0296,8
323,1-3647,4
324,1-6734,21
325,1-19924,16
326,1-8826,6
327,P-16616,17
328,1-9497,1
329,1-1317,12
330,1-4531,13
331,MLG75,9
332,MLG78,9
333,1-11329,5
334,1-20641,1
335,1-8910,2
336,1-1827,13
337,1-18613,3
338,1-6296,16
339,1-3523,11
340,1-3362,6
341,1-0031,11
342,MLG65,5
343,1-4319,12
344,1-6035,1
345,1-1131,17
346,MLG32,14
347,1-8188,14
348,1-17758,12
349,1-3052,13
350,1-2282,2
351,1-19229,2
352,MLG63,11
353,MLG50,20
354,1-9417,12
355,1-9498,21
356,1-9761,6
357,1-4760,17
358,1-9831,12
359,1-4417,10
360,1-6611,6
361,1-0008,18
362,1-1462,13
363,1-10785,21
364,1-7682,3
365,MLG48,16
366,1-5163,16
