,Exam Group,Exam Block
0,72-0103,19
1,1-9185,4
2,MLG17,4
3,1-8222,2
4,1-6240,1
5,1-5549,12
6,1-8021,12
7,1-8767,6
8,1-8181,11
9,1-8020,9
10,1-7964,17
11,1-9722,2
12,MLG84,9
13,1-9805,2
14,1-6098,11
15,1-8093,7
16,1-9955,11
17,1-18603,10
18,1-3521,15
19,1-2596,13
20,1-5167,1
21,1-3519,9
22,1-7995,10
23,1-2025,9
24,1-7140,9
25,1-9607,13
26,1-9907,10
27,1-18409,8
28,1-10071,14
29,1-18735,6
30,1-8418,7
31,1-8938,13
32,1-0022,1
33,1-7991,12
34,1-6642,12
35,1-2869,4
36,1-2714,8
37,1-5508,8
38,1-2104,7
39,1-7467,12
40,1-7722,17
41,1-7509,10
42,1-1207,15
43,1-8705,5
44,1-5214,3
45,1-9444,5
46,1-8566,9
47,1-19547,20
48,1-0405,11
49,1-2178,15
50,1-8174,16
51,1-9925,16
52,72-12387,18
53,1-9850,3
54,1-8125,1
55,1-8095,8
56,1-5877,18
57,1-1224,16
58,1-17733,16
59,1-9331,1
60,1-18202,9
61,1-7341,11
62,1-9818,6
63,1-7066,9
64,1-9674,16
65,1-8659,5
66,1-7536,13
67,1-7481,6
68,1-7845,4
69,1-18498,13
70,1-2584,6
71,1-6532,18
72,1-9614,3
73,1-5355,18
74,1-8124,10
75,1-8401,13
76,1-8541,19
77,1-2153,7
78,1-4088,12
79,1-9739,4
80,1-9115,18
81,1-7770,1
82,1-17645,5
83,1-18423,4
84,1-18714,16
85,1-8084,11
86,1-9345,1
87,MLG35,6
88,1-5626,15
89,1-18004,11
90,1-19222,2
91,72-12171,19
92,1-7807,20
93,1-20003,5
94,1-3083,7
95,1-3312,17
96,MLG37,15
97,1-9237,2
98,1-8127,10
99,1-5775,6
100,1-19598,5
101,1-9892,7
102,1-3564,12
103,1-8820,16
104,1-8267,20
105,1-1258,8
106,MLG69,2
107,1-6971,7
108,1-9731,1
109,1-9768,6
110,72-18936,1
111,1-19897,13
112,1-10698,8
113,1-4499,3
114,1-7496,20
115,1-3178,9
116,1-20047,8
117,1-0358,7
118,1-6543,3
119,1-5929,12
120,1-10232,14
121,1-7070,2
122,MLG42,4
123,MLG55,17
124,1-8427,12
125,1-8622,17
126,1-8488,5
127,1-9643,13
128,1-19286,10
129,1-2573,19
130,1-1833,14
131,1-9283,4
132,1-9110,10
133,1-8576,17
134,1-9465,20
135,1-9712,12
136,1-9549,13
137,1-1972,6
138,1-5515,10
139,1-7863,8
140,1-2294,16
141,MLG45,6
142,P-16454,3
143,1-8928,13
144,1-7744,8
145,MLG06,8
146,1-7453,9
147,1-17657,6
148,1-0001,9
149,MLG58,15
150,1-7005,19
151,1-9870,14
152,1-9500,10
153,1-1350,18
154,1-18994,18
155,1-9447,2
156,1-8634,18
157,1-6061,11
158,1-7599,3
159,1-10696,10
160,1-19813,14
161,MLG41,15
162,1-8067,16
163,1-9137,3
164,1-9740,18
165,1-7721,12
166,MLG40,3
167,1-4929,2
168,1-9655,13
169,1-9606,11
170,1-5043,8
171,1-8100,11
172,1-8573,16
173,1-9588,18
174,MLG38,3
175,1-4910,4
176,1-8042,7
