,Exam Group,Exam Block
0,72-0103,5
1,1-9185,2
2,MLG17,20
3,1-8222,5
4,1-6240,12
5,1-5549,1
6,1-8021,10
7,1-8767,1
8,1-8181,2
9,1-8020,9
10,1-7964,5
11,1-9722,19
12,MLG84,11
13,1-9805,1
14,1-6098,8
15,1-8093,1
16,1-9955,15
17,1-18603,4
18,1-3521,16
19,1-2596,10
20,1-5167,3
21,1-3519,10
22,1-7995,20
23,1-2025,19
24,1-7140,5
25,1-9607,15
26,1-9907,11
27,1-18409,7
28,1-10071,1
29,1-18735,8
30,1-8418,10
31,1-8938,10
32,1-0022,1
33,1-7991,1
34,1-6642,19
35,1-2869,7
36,1-2714,3
37,1-5508,3
38,1-2104,9
39,1-7467,10
40,1-7722,14
41,1-7509,16
42,1-1207,4
43,1-8705,1
44,1-5214,10
45,1-9444,2
46,1-8566,3
47,1-19547,3
48,1-0405,15
49,1-2178,9
50,1-8174,2
51,1-9925,2
52,72-12387,16
53,1-9850,1
54,1-8125,19
55,1-8095,3
56,1-5877,3
57,1-1224,17
58,1-17733,17
59,1-9331,4
60,1-18202,16
61,1-7341,15
62,1-9818,17
63,1-7066,20
64,1-9674,17
65,1-8659,21
66,1-7536,15
67,1-7481,19
68,1-7845,1
69,1-18498,5
70,1-2584,12
71,1-6532,7
72,1-9614,1
73,1-5355,21
74,1-8124,2
75,1-8401,4
76,1-8541,13
77,1-2153,13
78,1-4088,18
79,1-9739,13
80,1-9115,16
81,1-7770,14
82,1-17645,9
83,1-18423,1
84,1-18714,11
85,1-8084,8
86,1-9345,12
87,MLG35,1
88,1-5626,7
89,1-18004,1
90,1-19222,3
91,72-12171,12
92,1-7807,16
93,1-20003,7
94,1-3083,13
95,1-3312,1
96,MLG37,1
97,1-9237,1
98,1-8127,14
99,1-5775,4
100,1-19598,15
101,1-9892,4
102,1-3564,18
103,1-8820,11
104,1-8267,16
105,1-1258,6
106,MLG69,9
107,1-6971,6
108,1-9731,19
109,1-9768,4
110,72-18936,15
111,1-19897,13
112,1-10698,20
113,1-4499,3
114,1-7496,19
115,1-3178,14
116,1-20047,6
117,1-0358,2
118,1-6543,6
119,1-5929,6
120,1-10232,14
121,1-7070,9
122,MLG42,10
123,MLG55,2
124,1-8427,18
125,1-8622,5
126,1-8488,13
127,1-9643,9
128,1-19286,11
129,1-2573,3
130,1-1833,4
131,1-9283,12
132,1-9110,9
133,1-8576,5
134,1-9465,8
135,1-9712,14
136,1-9549,4
137,1-1972,16
138,1-5515,12
139,1-7863,6
140,1-2294,17
141,MLG45,8
142,P-16454,3
143,1-8928,13
144,1-7744,13
145,MLG06,2
146,1-7453,3
147,1-17657,11
148,1-0001,11
149,MLG58,14
150,1-7005,3
151,1-9870,8
152,1-9500,13
153,1-1350,20
154,1-18994,13
155,1-9447,5
156,1-8634,18
157,1-6061,8
158,1-7599,9
159,1-10696,1
160,1-19813,19
161,MLG41,2
162,1-8067,17
163,1-9137,2
164,1-9740,13
165,1-7721,20
166,MLG40,12
167,1-4929,14
168,1-9655,12
169,1-9606,8
170,1-5043,6
171,1-8100,8
172,1-8573,17
173,1-9588,20
174,MLG38,16
175,1-4910,4
176,1-8042,6
177,1-10948,9
178,1-7525,9
179,1-4052,15
180,1-0037,15
181,1-8641,2
182,1-7752,13
183,1-9496,11
184,1-8074,4
185,1-8906,7
186,72-11994,1
187,1-7321,10
188,1-20167,8
189,1-9156,4
190,1-2382,7
191,1-8328,19
192,1-9770,4
193,1-9553,20
194,1-9253,14
195,1-2670,4
196,1-9646,16
197,1-8646,8
198,1-9839,1
199,MLG39,2
200,1-4634,5
201,1-9902,5
202,1-8988,2
203,1-1250,11
204,1-9733,15
205,1-8018,7
206,1-9752,3
207,1-7058,11
208,1-10468,17
209,1-9938,17
210,1-7842,18
211,1-5406,7
212,1-10922,14
213,1-18563,6
214,1-0053,21
215,1-19839,5
216,1-9887,11
217,1-9630,1
218,1-9416,3
219,1-5653,2
220,MLG73,5
221,1-8023,14
222,1-4149,6
223,1-0205,3
224,1-9227,3
225,1-9650,2
226,1-9996,5
227,1-3068,19
228,1-17835,5
229,1-4361,9
230,1-3089,10
231,1-8450,4
232,1-18371,4
233,MLG07,3
234,MLG29,21
235,1-8113,15
236,1-7024,7
237,1-9667,2
238,1-9855,16
239,1-7042,3
240,MLG33,7
241,1-19448,4
242,1-20791,19
243,1-1015,18
244,MLG57,10
245,1-6647,10
246,MLG56,20
247,1-20467,12
248,1-2400,5
249,1-6931,14
250,1-9333,4
251,1-7268,18
252,1-21195,9
253,1-4649,21
254,1-8379,1
255,1-9946,1
256,1-9277,3
257,1-9504,2
258,1-9516,3
259,1-3596,9
260,1-0129,6
261,1-1942,3
262,1-8623,14
263,1-6927,17
264,P-0009,1
265,1-11330,8
266,1-2103,13
267,1-6181,5
268,MLG44,12
269,1-7839,12
270,1-1390,7
271,1-7897,4
272,1-1570,6
273,1-3589,3
274,1-0033,6
275,1-3216,9
276,1-9495,1
277,1-4051,20
278,1-10762,7
279,MLG43,2
280,1-7608,3
281,1-9995,7
282,1-1608,11
283,1-3535,4
284,1-4136,1
285,1-18615,1
286,1-3587,19
287,1-9836,1
288,1-8590,4
289,1-1592,7
290,1-8341,1
291,MLG02,5
292,1-9997,6
293,1-8066,5
294,1-3509,10
295,1-3639,18
296,1-9404,17
297,1-8352,11
298,1-7019,1
299,MLG54,18
300,1-4020,4
301,1-1177,16
302,MLG51,10
303,1-8157,4
304,1-19004,5
305,1-7866,13
306,1-18377,14
307,1-5530,3
308,1-6743,17
309,1-3516,19
310,1-4855,2
311,1-20578,11
312,1-3108,12
313,1-7521,4
314,1-3139,11
315,1-1769,16
316,1-7441,7
317,1-10978,14
318,1-2324,20
319,1-3584,8
320,MLG13,3
321,1-5172,6
322,1-0296,9
323,1-3647,19
324,1-6734,7
325,1-19924,6
326,1-8826,3
