,Exam Group,Exam Block
0,72-0103,19
1,1-9185,2
2,MLG17,12
3,1-8222,16
4,1-6240,20
5,1-5549,12
6,1-8021,12
7,1-8767,7
8,1-8181,4
9,1-8020,11
10,1-7964,9
11,1-9722,10
12,MLG84,21
13,1-9805,1
14,1-6098,4
15,1-8093,5
16,1-9955,20
17,1-18603,4
18,1-3521,7
19,1-2596,8
20,1-5167,13
21,1-3519,10
22,1-7995,2
23,1-2025,11
24,1-7140,9
25,1-9607,15
26,1-9907,13
27,1-18409,2
28,1-10071,16
29,1-18735,6
30,1-8418,5
31,1-8938,4
32,1-0022,16
33,1-7991,8
34,1-6642,10
35,1-2869,7
36,1-2714,2
37,1-5508,3
38,1-2104,13
39,1-7467,12
40,1-7722,7
41,1-7509,17
42,1-1207,1
43,1-8705,8
44,1-5214,12
45,1-9444,10
46,1-8566,4
47,1-19547,13
48,1-0405,4
49,1-2178,7
50,1-8174,11
51,1-9925,15
52,72-12387,8
53,1-9850,1
54,1-8125,5
55,1-8095,3
56,1-5877,5
57,1-1224,15
58,1-17733,15
59,1-9331,8
60,1-18202,11
61,1-7341,12
62,1-9818,3
63,1-7066,10
64,1-9674,15
65,1-8659,2
66,1-7536,1
67,1-7481,5
68,1-7845,17
69,1-18498,5
70,1-2584,5
71,1-6532,9
72,1-9614,4
73,1-5355,5
74,1-8124,6
75,1-8401,13
76,1-8541,3
77,1-2153,11
78,1-4088,7
79,1-9739,11
80,1-9115,10
81,1-7770,20
82,1-17645,12
83,1-18423,6
84,1-18714,18
85,1-8084,4
86,1-9345,21
87,MLG35,16
88,1-5626,18
89,1-18004,6
90,1-19222,8
91,72-12171,1
92,1-7807,14
93,1-20003,14
94,1-3083,19
95,1-3312,15
96,MLG37,1
97,1-9237,17
98,1-8127,19
99,1-5775,17
100,1-19598,12
101,1-9892,2
102,1-3564,19
103,1-8820,15
104,1-8267,13
105,1-1258,18
106,MLG69,7
107,1-6971,12
108,1-9731,12
109,1-9768,17
110,72-18936,2
111,1-19897,13
112,1-10698,13
113,1-4499,3
114,1-7496,13
115,1-3178,8
116,1-20047,4
117,1-0358,19
118,1-6543,11
119,1-5929,10
120,1-10232,14
121,1-7070,20
122,MLG42,20
123,MLG55,5
124,1-8427,20
125,1-8622,9
126,1-8488,18
127,1-9643,14
128,1-19286,14
129,1-2573,7
130,1-1833,5
131,1-9283,20
132,1-9110,10
133,1-8576,9
134,1-9465,4
135,1-9712,11
136,1-9549,2
137,1-1972,2
138,1-5515,20
139,1-7863,18
140,1-2294,15
141,MLG45,1
142,P-16454,16
143,1-8928,8
144,1-7744,12
145,MLG06,5
146,1-7453,13
147,1-17657,1
148,1-0001,17
149,MLG58,10
150,1-7005,3
151,1-9870,2
152,1-9500,18
153,1-1350,20
154,1-18994,6
155,1-9447,3
156,1-8634,8
157,1-6061,4
158,1-7599,11
159,1-10696,3
160,1-19813,1
161,MLG41,6
162,1-8067,15
163,1-9137,10
164,1-9740,10
165,1-7721,12
166,MLG40,1
167,1-4929,2
168,1-9655,2
169,1-9606,4
170,1-5043,21
171,1-8100,7
172,1-8573,15
173,1-9588,16
174,MLG38,6
175,1-4910,11
176,1-8042,2
177,1-10948,18
178,1-7525,1
179,1-4052,5
180,1-0037,1
181,1-8641,12
182,1-7752,20
183,1-9496,15
184,1-8074,17
185,1-8906,3
186,72-11994,14
187,1-7321,11
188,1-20167,4
189,1-9156,17
190,1-2382,13
191,1-8328,19
192,1-9770,17
193,1-9553,5
194,1-9253,11
195,1-2670,8
196,1-9646,4
197,1-8646,6
198,1-9839,1
199,MLG39,14
200,1-4634,4
201,1-9902,9
202,1-8988,9
203,1-1250,14
204,1-9733,2
205,1-8018,18
206,1-9752,12
207,1-7058,19
208,1-10468,15
209,1-9938,15
210,1-7842,17
211,1-5406,10
212,1-10922,16
213,1-18563,4
214,1-0053,4
215,1-19839,7
216,1-9887,16
217,1-9630,10
218,1-9416,10
219,1-5653,3
220,MLG73,12
221,1-8023,1
222,1-4149,3
223,1-0205,3
224,1-9227,3
225,1-9650,19
226,1-9996,9
227,1-3068,13
228,1-17835,14
229,1-4361,12
230,1-3089,4
231,1-8450,2
232,1-18371,17
233,MLG07,3
234,MLG29,4
235,1-8113,5
236,1-7024,18
237,1-9667,16
238,1-9855,1
239,1-7042,3
240,MLG33,2
241,1-19448,17
242,1-20791,11
243,1-1015,11
244,MLG57,5
245,1-6647,6
246,MLG56,11
247,1-20467,20
248,1-2400,14
249,1-6931,7
250,1-9333,17
251,1-7268,20
252,1-21195,13
253,1-4649,2
254,1-8379,4
255,1-9946,5
256,1-9277,3
257,1-9504,19
258,1-9516,3
259,1-3596,7
260,1-0129,21
261,1-1942,5
262,1-8623,11
263,1-6927,15
264,P-0009,16
265,1-11330,1
266,1-2103,19
267,1-6181,9
268,MLG44,6
269,1-7839,2
270,1-1390,16
271,1-7897,17
272,1-1570,21
273,1-3589,3
274,1-0033,6
275,1-3216,7
276,1-9495,8
277,1-4051,4
278,1-10762,18
279,MLG43,14
280,1-7608,12
281,1-9995,1
282,1-1608,10
283,1-3535,17
284,1-4136,18
285,1-18615,1
286,1-3587,8
287,1-9836,6
288,1-8590,17
289,1-1592,19
290,1-8341,3
291,MLG02,9
292,1-9997,4
293,1-8066,9
294,1-3509,9
295,1-3639,5
296,1-9404,15
297,1-8352,18
298,1-7019,9
299,MLG54,12
300,1-4020,8
301,1-1177,18
302,MLG51,11
303,1-8157,17
304,1-19004,9
305,1-7866,19
306,1-18377,10
307,1-5530,5
308,1-6743,5
309,1-3516,13
310,1-4855,1
311,1-20578,19
312,1-3108,21
313,1-7521,4
314,1-3139,3
315,1-1769,11
316,1-7441,10
317,1-10978,18
318,1-2324,8
319,1-3584,4
320,MLG13,1
321,1-5172,21
322,1-0296,19
323,1-3647,13
324,1-6734,18
325,1-19924,11
326,1-8826,12
327,P-16616,7
328,1-9497,4
329,1-1317,14
330,1-4531,3
331,MLG75,10
332,MLG78,6
333,1-11329,1
334,1-20641,1
335,1-8910,14
336,1-1827,20
337,1-18613,1
338,1-6296,9
339,1-3523,19
340,1-3362,13
341,1-0031,14
342,MLG65,16
343,1-4319,15
344,1-6035,4
345,1-1131,12
346,MLG32,1
347,1-8188,18
348,1-17758,15
349,1-3052,1
350,1-2282,5
351,1-19229,14
352,MLG63,6
353,MLG50,11
354,1-9417,15
355,1-9498,7
356,1-9761,3
357,1-4760,19
358,1-9831,15
359,1-4417,9
360,1-6611,13
361,1-0008,9
362,1-1462,3
363,1-10785,18
364,1-7682,12
365,MLG48,14
366,1-5163,7
367,1-8544,4
368,1-5197,2
369,1-6594,18
370,MLG62,7
371,1-1580,19
372,1-6916,11
373,1-6918,4
374,1-6919,13
375,MLG14,16
376,1-7874,3
377,1-7213,4
378,1-6561,21
379,1-4640,3
380,1-7004,13
381,1-2335,17
382,1-18558,7
383,1-8551,3
384,1-9270,21
385,1-6974,17
386,MLG68,8
387,1-10539,20
388,MLG49,2
389,1-0278,2
390,MLG64,1
391,MLG30,16
392,1-9609,4
393,1-7819,19
394,1-2423,8
395,1-6787,4
396,1-9963,21
397,1-9808,9
398,1-0303,18
399,MLG60,16
400,1-18709,4
401,1-7204,6
402,1-5744,1
403,1-1770,2
404,1-4682,2
405,1-3104,3
406,1-17907,12
407,1-8421,21
408,MLG53,18
409,1-9645,19
410,MLG12,14
411,MLG15,5
412,1-6858,1
413,1-8314,1
414,1-8285,20
415,1-1957,17
416,1-18203,8
417,1-10451,18
418,1-6216,3
419,1-6692,17
420,1-8172,3
421,1-8398,10
422,1-6878,9
423,1-7122,20
424,1-4700,13
425,1-6006,3
426,1-4355,2
427,1-9379,2
428,1-2701,20
429,1-6693,4
430,1-3141,10
431,1-7614,3
432,1-6914,1
433,1-5654,1
434,MLG59,8
435,1-9610,14
436,1-5161,20
437,1-6980,5
438,MLG10,19
439,MLG72,9
440,MLG52,11
441,1-19166,6
442,MLG11,8
443,1-3447,3
444,1-3217,2
445,1-6538,1
446,1-3534,13
447,1-7152,3
448,1-3106,1
449,1-1935,4
450,1-2297,15
451,1-4098,2
452,1-8529,5
453,1-8397,1
454,1-0272,2
455,1-17790,6
456,1-8186,19
457,1-8503,2
458,1-7182,20
459,1-2545,19
460,1-7993,14
461,1-9651,6
462,1-1183,17
463,1-1989,2
464,1-10060,6
465,1-5913,9
466,1-5981,2
467,1-13247,20
468,1-6228,3
469,1-8578,3
470,1-1204,13
471,1-9794,17
472,1-9518,9
473,1-9452,2
474,1-8400,19
475,1-18234,1
476,1-19205,4
477,1-9055,3
478,1-9394,17
479,1-9286,20
480,1-1005,4
481,1-10038,5
482,1-4390,3
483,1-9491,20
484,MLG31,16
485,1-5980,4
486,1-8678,1
487,1-6900,2
488,1-11350,19
489,1-9578,9
490,1-3551,14
