,Exam Group,Exam Block
0,72-0103,3
1,1-9185,2
2,MLG17,7
3,1-8222,1
4,1-6240,9
5,1-5549,1
6,1-8021,3
7,1-8767,19
8,1-8181,13
9,1-8020,6
10,1-7964,2
11,1-9722,1
12,MLG84,16
13,1-9805,23
14,1-6098,22
15,1-8093,2
16,1-9955,7
17,1-18603,19
18,1-3521,9
19,1-2596,21
20,1-5167,18
21,1-3519,6
22,1-7995,1
23,1-2025,10
24,1-7140,19
25,1-9607,23
26,1-9907,22
27,1-18409,13
28,1-10071,19
29,1-18735,4
30,1-8418,1
31,1-8938,23
32,1-0022,16
33,1-7991,2
34,1-6642,21
35,1-2869,10
36,1-2714,21
37,1-5508,4
38,1-2104,14
39,1-7467,17
40,1-7722,4
41,1-7509,15
42,1-1207,5
43,1-8705,19
44,1-5214,18
45,1-9444,6
46,1-8566,8
47,1-19547,21
48,1-0405,22
49,1-2178,10
50,1-8174,5
51,1-9925,23
52,72-12387,6
53,1-9850,6
54,1-8125,12
55,1-8095,3
56,1-5877,11
57,1-1224,8
58,1-17733,16
59,1-9331,3
60,1-18202,2
61,1-7341,18
62,1-9818,7
63,1-7066,14
64,1-9674,20
65,1-8659,2
66,1-7536,22
67,1-7481,20
68,1-7845,2
69,1-18498,1
70,1-2584,19
71,1-6532,11
72,1-9614,1
73,1-5355,12
74,1-8124,2
75,1-8401,8
76,1-8541,14
77,1-2153,19
78,1-4088,1
79,1-9739,2
80,1-9115,4
81,1-7770,16
82,1-17645,6
83,1-18423,7
84,1-18714,16
85,1-8084,13
86,1-9345,22
87,MLG35,15
88,1-5626,3
89,1-18004,8
90,1-19222,22
91,72-12171,8
92,1-7807,6
93,1-20003,6
94,1-3083,7
95,1-3312,17
96,MLG37,8
97,1-9237,21
98,1-8127,13
99,1-5775,6
100,1-19598,4
101,1-9892,1
102,1-3564,12
103,1-8820,8
104,1-8267,11
105,1-1258,12
106,MLG69,21
107,1-6971,9
108,1-9731,22
109,1-9768,4
110,72-18936,1
111,1-19897,21
112,1-10698,1
113,1-4499,17
114,1-7496,10
115,1-3178,4
116,1-20047,8
117,1-0358,15
118,1-6543,12
119,1-5929,7
120,1-10232,22
121,1-7070,9
122,MLG42,2
123,MLG55,2
124,1-8427,1
125,1-8622,17
126,1-8488,1
127,1-9643,15
128,1-19286,17
129,1-2573,11
130,1-1833,5
131,1-9283,12
132,1-9110,2
133,1-8576,10
134,1-9465,16
135,1-9712,9
136,1-9549,7
137,1-1972,20
138,1-5515,6
139,1-7863,18
140,1-2294,3
141,MLG45,9
142,P-16454,1
143,1-8928,15
144,1-7744,17
145,MLG06,6
146,1-7453,2
147,1-17657,16
148,1-0001,1
149,MLG58,17
150,1-7005,14
151,1-9870,13
152,1-9500,19
153,1-1350,13
154,1-18994,11
155,1-9447,16
156,1-8634,13
157,1-6061,3
158,1-7599,1
159,1-10696,4
160,1-19813,8
161,MLG41,15
162,1-8067,7
163,1-9137,17
164,1-9740,10
165,1-7721,10
166,MLG40,9
167,1-4929,5
168,1-9655,4
169,1-9606,3
170,1-5043,6
171,1-8100,9
172,1-8573,17
173,1-9588,12
174,MLG38,5
175,1-4910,16
176,1-8042,1
177,1-10948,8
178,1-7525,6
179,1-4052,5
180,1-0037,7
181,1-8641,2
182,1-7752,20
183,1-9496,8
184,1-8074,3
185,1-8906,1
186,72-11994,5
187,1-7321,11
188,1-20167,7
189,1-9156,9
190,1-2382,5
191,1-8328,10
192,1-9770,13
193,1-9553,6
194,1-9253,5
195,1-2670,1
196,1-9646,2
197,1-8646,6
198,1-9839,6
199,MLG39,8
200,1-4634,5
201,1-9902,17
202,1-8988,18
203,1-1250,7
204,1-9733,14
205,1-8018,1
