,Exam Group,Exam Block
0,72-0103,16
1,1-9185,20
2,MLG17,14
3,1-8222,16
4,1-6240,13
5,1-5549,15
6,1-8021,2
7,1-8767,5
8,1-8181,23
9,1-8020,11
10,1-7964,16
11,1-9722,8
12,MLG84,14
13,1-9805,10
14,1-6098,11
15,1-8093,1
16,1-9955,5
17,1-18603,12
18,1-3521,11
19,1-2596,19
20,1-5167,5
21,1-3519,8
22,1-7995,2
23,1-2025,15
24,1-7140,21
25,1-9607,4
26,1-9907,16
27,1-18409,22
28,1-10071,16
29,1-18735,11
30,1-8418,22
31,1-8938,2
32,1-0022,2
33,1-7991,17
34,1-6642,20
35,1-2869,2
36,1-2714,9
37,1-5508,14
38,1-2104,12
39,1-7467,4
40,1-7722,19
41,1-7509,3
42,1-1207,2
43,1-8705,10
44,1-5214,8
45,1-9444,11
46,1-8566,11
47,1-19547,4
48,1-0405,15
49,1-2178,11
50,1-8174,20
51,1-9925,20
52,72-12387,1
53,1-9850,2
54,1-8125,4
55,1-8095,15
56,1-5877,1
57,1-1224,16
58,1-17733,17
59,1-9331,13
60,1-18202,5
61,1-7341,22
62,1-9818,20
63,1-7066,18
64,1-9674,18
65,1-8659,5
66,1-7536,6
67,1-7481,10
68,1-7845,5
69,1-18498,9
70,1-2584,1
71,1-6532,18
72,1-9614,11
73,1-5355,17
74,1-8124,21
75,1-8401,2
76,1-8541,12
77,1-2153,1
78,1-4088,21
79,1-9739,5
80,1-9115,16
81,1-7770,13
82,1-17645,2
83,1-18423,8
84,1-18714,1
85,1-8084,5
86,1-9345,11
87,MLG35,3
88,1-5626,2
89,1-18004,16
90,1-19222,7
91,72-12171,14
92,1-7807,16
93,1-20003,18
94,1-3083,14
95,1-3312,7
96,MLG37,3
97,1-9237,10
98,1-8127,22
99,1-5775,10
100,1-19598,7
101,1-9892,14
102,1-3564,12
103,1-8820,4
104,1-8267,14
105,1-1258,23
106,MLG69,20
107,1-6971,3
108,1-9731,5
109,1-9768,10
110,72-18936,1
111,1-19897,15
112,1-10698,6
113,1-4499,19
114,1-7496,20
115,1-3178,5
116,1-20047,23
117,1-0358,22
118,1-6543,2
119,1-5929,2
120,1-10232,6
121,1-7070,20
122,MLG42,20
123,MLG55,11
124,1-8427,20
125,1-8622,2
126,1-8488,6
127,1-9643,15
128,1-19286,22
129,1-2573,23
130,1-1833,4
131,1-9283,17
132,1-9110,3
133,1-8576,21
134,1-9465,2
135,1-9712,10
136,1-9549,4
137,1-1972,3
138,1-5515,7
139,1-7863,6
140,1-2294,21
141,MLG45,14
142,P-16454,2
143,1-8928,20
144,1-7744,15
145,MLG06,4
146,1-7453,12
147,1-17657,20
148,1-0001,1
149,MLG58,19
150,1-7005,22
151,1-9870,7
152,1-9500,3
153,1-1350,12
154,1-18994,1
155,1-9447,11
156,1-8634,18
157,1-6061,11
158,1-7599,2
159,1-10696,23
160,1-19813,3
161,MLG41,2
162,1-8067,7
163,1-9137,14
164,1-9740,1
165,1-7721,11
166,MLG40,14
167,1-4929,9
168,1-9655,12
169,1-9606,5
170,1-5043,9
171,1-8100,14
172,1-8573,16
173,1-9588,12
174,MLG38,2
175,1-4910,16
176,1-8042,13
177,1-10948,1
178,1-7525,7
179,1-4052,19
180,1-0037,6
181,1-8641,8
182,1-7752,14
183,1-9496,3
184,1-8074,3
185,1-8906,15
186,72-11994,7
187,1-7321,9
188,1-20167,1
189,1-9156,19
190,1-2382,2
191,1-8328,4
192,1-9770,10
193,1-9553,9
194,1-9253,21
195,1-2670,13
196,1-9646,2
197,1-8646,2
198,1-9839,21
199,MLG39,14
200,1-4634,16
201,1-9902,7
202,1-8988,21
203,1-1250,10
204,1-9733,8
205,1-8018,2
206,1-9752,21
207,1-7058,9
208,1-10468,19
209,1-9938,18
210,1-7842,13
211,1-5406,14
212,1-10922,7
213,1-18563,1
214,1-0053,11
215,1-19839,1
216,1-9887,1
217,1-9630,2
218,1-9416,13
219,1-5653,1
220,MLG73,8
221,1-8023,23
222,1-4149,12
223,1-0205,10
224,1-9227,12
225,1-9650,17
226,1-9996,21
227,1-3068,22
228,1-17835,13
229,1-4361,1
230,1-3089,10
231,1-8450,2
232,1-18371,10
233,MLG07,12
234,MLG29,17
235,1-8113,1
236,1-7024,22
237,1-9667,5
238,1-9855,19
239,1-7042,1
240,MLG33,3
241,1-19448,15
242,1-20791,13
243,1-1015,18
244,MLG57,13
245,1-6647,21
246,MLG56,13
247,1-20467,8
248,1-2400,5
249,1-6931,1
250,1-9333,15
251,1-7268,18
252,1-21195,5
253,1-4649,12
254,1-8379,6
255,1-9946,7
256,1-9277,3
257,1-9504,5
258,1-9516,12
259,1-3596,9
260,1-0129,3
261,1-1942,10
262,1-8623,1
263,1-6927,18
264,P-0009,19
265,1-11330,1
266,1-2103,2
267,1-6181,16
268,MLG44,3
269,1-7839,11
270,1-1390,23
271,1-7897,13
272,1-1570,3
273,1-3589,11
274,1-0033,16
275,1-3216,2
276,1-9495,12
277,1-4051,10
278,1-10762,3
279,MLG43,5
280,1-7608,13
281,1-9995,6
282,1-1608,9
283,1-3535,15
284,1-4136,13
285,1-18615,14
286,1-3587,8
287,1-9836,2
288,1-8590,4
289,1-1592,15
290,1-8341,12
291,MLG02,6
292,1-9997,1
293,1-8066,5
294,1-3509,15
295,1-3639,11
296,1-9404,17
297,1-8352,17
298,1-7019,17
299,MLG54,8
300,1-4020,17
301,1-1177,17
302,MLG51,8
303,1-8157,1
304,1-19004,15
305,1-7866,8
306,1-18377,22
307,1-5530,3
308,1-6743,3
309,1-3516,4
310,1-4855,13
311,1-20578,7
312,1-3108,15
313,1-7521,4
314,1-3139,12
315,1-1769,9
316,1-7441,9
317,1-10978,13
318,1-2324,4
319,1-3584,10
320,MLG13,11
321,1-5172,3
322,1-0296,4
323,1-3647,20
324,1-6734,17
325,1-19924,14
326,1-8826,23
327,P-16616,16
328,1-9497,17
329,1-1317,20
330,1-4531,12
331,MLG75,11
332,MLG78,23
333,1-11329,8
334,1-20641,11
335,1-8910,22
336,1-1827,5
337,1-18613,19
338,1-6296,10
339,1-3523,21
340,1-3362,15
341,1-0031,20
342,MLG65,2
343,1-4319,18
344,1-6035,3
345,1-1131,8
346,MLG32,18
347,1-8188,2
348,1-17758,10
349,1-3052,12
350,1-2282,9
351,1-19229,21
352,MLG63,22
353,MLG50,21
354,1-9417,18
355,1-9498,9
