,Exam Group,Exam Block
0,72-0103,22
1,1-9185,2
2,MLG17,8
3,1-8222,5
4,1-6240,20
5,1-5549,5
6,1-8021,7
7,1-8767,6
8,1-8181,18
9,1-8020,6
10,1-7964,1
11,1-9722,16
12,MLG84,19
13,1-9805,6
14,1-6098,18
15,1-8093,7
16,1-9955,5
17,1-18603,4
18,1-3521,3
19,1-2596,20
20,1-5167,4
21,1-3519,2
22,1-7995,22
23,1-2025,17
24,1-7140,8
25,1-9607,4
26,1-9907,17
27,1-18409,14
28,1-10071,7
29,1-18735,3
30,1-8418,5
31,1-8938,2
32,1-0022,1
33,1-7991,1
34,1-6642,3
35,1-2869,7
36,1-2714,3
37,1-5508,7
38,1-2104,7
39,1-7467,8
40,1-7722,1
41,1-7509,11
42,1-1207,6
43,1-8705,15
44,1-5214,19
45,1-9444,15
46,1-8566,8
47,1-19547,3
48,1-0405,4
49,1-2178,2
50,1-8174,2
51,1-9925,16
52,72-12387,17
53,1-9850,6
54,1-8125,1
55,1-8095,4
56,1-5877,9
57,1-1224,11
58,1-17733,19
59,1-9331,17
60,1-18202,15
61,1-7341,9
62,1-9818,18
63,1-7066,5
64,1-9674,9
65,1-8659,19
66,1-7536,2
67,1-7481,6
68,1-7845,16
69,1-18498,1
70,1-2584,15
71,1-6532,18
72,1-9614,13
73,1-5355,21
74,1-8124,6
75,1-8401,8
76,1-8541,22
77,1-2153,14
78,1-4088,3
79,1-9739,5
80,1-9115,20
81,1-7770,4
82,1-17645,4
83,1-18423,2
84,1-18714,13
85,1-8084,18
86,1-9345,10
87,MLG35,5
88,1-5626,14
89,1-18004,19
90,1-19222,15
91,72-12171,5
92,1-7807,11
93,1-20003,6
94,1-3083,18
95,1-3312,21
96,MLG37,11
97,1-9237,12
98,1-8127,12
99,1-5775,7
100,1-19598,5
101,1-9892,1
102,1-3564,3
103,1-8820,3
104,1-8267,10
105,1-1258,22
106,MLG69,13
107,1-6971,3
108,1-9731,6
109,1-9768,6
110,72-18936,8
111,1-19897,5
112,1-10698,1
113,1-4499,20
114,1-7496,10
115,1-3178,7
116,1-20047,1
117,1-0358,4
118,1-6543,17
119,1-5929,2
120,1-10232,17
121,1-7070,10
122,MLG42,11
123,MLG55,16
124,1-8427,18
125,1-8622,15
126,1-8488,19
127,1-9643,17
128,1-19286,12
129,1-2573,3
130,1-1833,11
131,1-9283,8
132,1-9110,16
133,1-8576,2
134,1-9465,18
135,1-9712,10
136,1-9549,1
137,1-1972,14
138,1-5515,10
139,1-7863,17
140,1-2294,16
141,MLG45,18
142,P-16454,1
143,1-8928,17
144,1-7744,4
145,MLG06,1
146,1-7453,14
147,1-17657,19
148,1-0001,4
149,MLG58,21
150,1-7005,20
151,1-9870,3
152,1-9500,14
153,1-1350,15
154,1-18994,15
155,1-9447,9
156,1-8634,14
157,1-6061,10
158,1-7599,10
159,1-10696,16
160,1-19813,1
161,MLG41,18
162,1-8067,11
163,1-9137,4
164,1-9740,11
165,1-7721,1
166,MLG40,10
167,1-4929,2
168,1-9655,4
169,1-9606,3
170,1-5043,2
171,1-8100,10
172,1-8573,19
173,1-9588,13
174,MLG38,11
175,1-4910,17
176,1-8042,2
177,1-10948,1
178,1-7525,1
179,1-4052,5
180,1-0037,15
181,1-8641,17
182,1-7752,4
183,1-9496,6
184,1-8074,6
185,1-8906,12
186,72-11994,2
187,1-7321,10
188,1-20167,16
189,1-9156,12
190,1-2382,10
191,1-8328,7
192,1-9770,16
193,1-9553,22
194,1-9253,1
195,1-2670,18
196,1-9646,9
197,1-8646,2
198,1-9839,13
199,MLG39,16
200,1-4634,18
201,1-9902,14
202,1-8988,9
203,1-1250,2
204,1-9733,20
205,1-8018,5
