,Exam Group,Exam Block
0,72-0103,6
1,1-9185,17
2,MLG17,20
3,1-8222,7
4,1-6240,5
5,1-5549,18
6,1-8021,4
7,1-8767,17
8,1-8181,7
9,1-8020,12
10,1-7964,15
11,1-9722,7
12,MLG84,4
13,1-9805,11
14,1-6098,12
15,1-8093,5
16,1-9955,9
17,1-18603,14
18,1-3521,8
19,1-2596,4
20,1-5167,1
21,1-3519,9
22,1-7995,3
23,1-2025,12
24,1-7140,14
25,1-9607,4
26,1-9907,15
27,1-18409,16
28,1-10071,1
29,1-18735,4
30,1-8418,11
31,1-8938,15
32,1-0022,2
33,1-7991,8
34,1-6642,2
35,1-2869,7
36,1-2714,1
37,1-5508,5
38,1-2104,6
39,1-7467,10
40,1-7722,1
41,1-7509,8
42,1-1207,18
43,1-8705,3
44,1-5214,12
45,1-9444,6
46,1-8566,7
47,1-19547,19
48,1-0405,15
49,1-2178,14
50,1-8174,20
51,1-9925,9
52,72-12387,20
53,1-9850,17
54,1-8125,11
55,1-8095,1
56,1-5877,13
57,1-1224,18
58,1-17733,4
59,1-9331,11
60,1-18202,1
61,1-7341,4
62,1-9818,2
63,1-7066,12
64,1-9674,13
65,1-8659,19
66,1-7536,15
67,1-7481,1
68,1-7845,9
69,1-18498,7
70,1-2584,17
71,1-6532,19
72,1-9614,16
73,1-5355,13
74,1-8124,11
75,1-8401,19
76,1-8541,8
77,1-2153,10
78,1-4088,13
79,1-9739,8
80,1-9115,8
81,1-7770,20
82,1-17645,1
83,1-18423,15
84,1-18714,13
85,1-8084,9
86,1-9345,3
87,MLG35,7
88,1-5626,6
89,1-18004,1
90,1-19222,5
91,72-12171,9
92,1-7807,20
93,1-20003,1
94,1-3083,2
95,1-3312,6
96,MLG37,4
97,1-9237,1
98,1-8127,14
99,1-5775,16
100,1-19598,7
101,1-9892,8
102,1-3564,9
103,1-8820,15
104,1-8267,18
105,1-1258,17
106,MLG69,10
107,1-6971,14
108,1-9731,12
109,1-9768,10
110,72-18936,11
111,1-19897,9
112,1-10698,19
113,1-4499,16
114,1-7496,12
115,1-3178,12
116,1-20047,10
117,1-0358,6
118,1-6543,2
119,1-5929,1
120,1-10232,8
121,1-7070,17
122,MLG42,2
123,MLG55,3
124,1-8427,12
125,1-8622,1
126,1-8488,1
127,1-9643,1
128,1-19286,3
129,1-2573,16
130,1-1833,3
131,1-9283,7
132,1-9110,11
133,1-8576,19
134,1-9465,14
135,1-9712,13
136,1-9549,19
137,1-1972,4
138,1-5515,3
139,1-7863,5
140,1-2294,7
141,MLG45,1
142,P-16454,11
143,1-8928,2
144,1-7744,10
145,MLG06,1
146,1-7453,12
147,1-17657,12
148,1-0001,4
149,MLG58,6
150,1-7005,16
151,1-9870,14
152,1-9500,3
153,1-1350,8
154,1-18994,8
155,1-9447,13
156,1-8634,5
157,1-6061,12
158,1-7599,7
159,1-10696,3
160,1-19813,15
161,MLG41,18
162,1-8067,15
163,1-9137,12
164,1-9740,18
165,1-7721,12
166,MLG40,20
167,1-4929,1
168,1-9655,12
169,1-9606,18
170,1-5043,1
171,1-8100,7
172,1-8573,18
173,1-9588,6
174,MLG38,9
175,1-4910,1
176,1-8042,9
177,1-10948,5
178,1-7525,8
179,1-4052,6
180,1-0037,2
181,1-8641,13
182,1-7752,6
183,1-9496,3
184,1-8074,1
185,1-8906,6
186,72-11994,1
187,1-7321,9
188,1-20167,17
189,1-9156,7
190,1-2382,2
191,1-8328,14
192,1-9770,2
193,1-9553,1
194,1-9253,1
195,1-2670,1
196,1-9646,5
197,1-8646,1
198,1-9839,11
199,MLG39,2
200,1-4634,20
201,1-9902,18
202,1-8988,16
203,1-1250,18
204,1-9733,1
205,1-8018,17
206,1-9752,16
207,1-7058,18
208,1-10468,15
209,1-9938,3
210,1-7842,19
211,1-5406,15
212,1-10922,9
213,1-18563,8
214,1-0053,12
215,1-19839,9
216,1-9887,1
217,1-9630,11
218,1-9416,1
219,1-5653,1
220,MLG73,13
221,1-8023,8
222,1-4149,12
223,1-0205,1
224,1-9227,12
225,1-9650,13
226,1-9996,4
227,1-3068,10
228,1-17835,14
229,1-4361,19
230,1-3089,15
231,1-8450,2
232,1-18371,7
233,MLG07,20
234,MLG29,13
235,1-8113,2
236,1-7024,17
237,1-9667,6
238,1-9855,6
239,1-7042,16
240,MLG33,17
241,1-19448,17
242,1-20791,10
243,1-1015,8
244,MLG57,5
245,1-6647,17
246,MLG56,8
247,1-20467,2
248,1-2400,19
249,1-6931,5
250,1-9333,2
251,1-7268,2
252,1-21195,9
253,1-4649,16
254,1-8379,5
255,1-9946,4
256,1-9277,4
257,1-9504,10
258,1-9516,4
259,1-3596,18
260,1-0129,9
261,1-1942,8
262,1-8623,8
263,1-6927,18
264,P-0009,3
265,1-11330,8
266,1-2103,3
267,1-6181,13
268,MLG44,6
269,1-7839,1
270,1-1390,19
271,1-7897,20
272,1-1570,7
273,1-3589,16
274,1-0033,9
275,1-3216,1
276,1-9495,14
277,1-4051,14
278,1-10762,3
279,MLG43,8
280,1-7608,5
281,1-9995,20
282,1-1608,5
283,1-3535,5
284,1-4136,1
285,1-18615,6
286,1-3587,8
287,1-9836,5
288,1-8590,15
289,1-1592,20
290,1-8341,11
291,MLG02,5
292,1-9997,16
293,1-8066,1
294,1-3509,19
295,1-3639,11
296,1-9404,6
297,1-8352,8
298,1-7019,13
299,MLG54,16
300,1-4020,11
301,1-1177,20
302,MLG51,4
303,1-8157,7
304,1-19004,6
305,1-7866,13
306,1-18377,1
307,1-5530,12
308,1-6743,14
309,1-3516,15
310,1-4855,9
