,Exam Group,Exam Block
0,72-0103,13
1,1-9185,4
2,MLG17,8
3,1-8222,18
4,1-6240,10
5,1-5549,2
6,1-8021,2
7,1-8767,14
8,1-8181,6
9,1-8020,1
10,1-7964,12
11,1-9722,7
12,MLG84,5
13,1-9805,1
14,1-6098,18
15,1-8093,9
16,1-9955,11
17,1-18603,10
18,1-3521,4
19,1-2596,16
20,1-5167,5
21,1-3519,15
22,1-7995,6
23,1-2025,3
24,1-7140,5
25,1-9607,2
26,1-9907,3
27,1-18409,10
28,1-10071,3
29,1-18735,11
30,1-8418,19
31,1-8938,12
32,1-0022,2
33,1-7991,15
34,1-6642,20
35,1-2869,1
36,1-2714,18
37,1-5508,5
38,1-2104,1
39,1-7467,5
40,1-7722,9
41,1-7509,14
42,1-1207,21
43,1-8705,7
44,1-5214,15
45,1-9444,2
46,1-8566,5
47,1-19547,2
48,1-0405,6
49,1-2178,10
50,1-8174,8
51,1-9925,6
52,72-12387,6
53,1-9850,14
54,1-8125,10
55,1-8095,14
56,1-5877,18
57,1-1224,13
58,1-17733,15
59,1-9331,3
60,1-18202,9
61,1-7341,15
62,1-9818,6
63,1-7066,6
64,1-9674,17
65,1-8659,13
66,1-7536,7
67,1-7481,15
68,1-7845,7
69,1-18498,16
70,1-2584,2
71,1-6532,9
72,1-9614,19
73,1-5355,22
74,1-8124,2
75,1-8401,4
76,1-8541,8
77,1-2153,16
78,1-4088,5
79,1-9739,20
80,1-9115,7
81,1-7770,18
82,1-17645,11
83,1-18423,13
84,1-18714,16
85,1-8084,12
86,1-9345,20
87,MLG35,4
88,1-5626,22
89,1-18004,3
90,1-19222,19
91,72-12171,10
92,1-7807,8
93,1-20003,16
94,1-3083,12
95,1-3312,13
96,MLG37,3
97,1-9237,1
98,1-8127,18
99,1-5775,7
100,1-19598,7
101,1-9892,11
102,1-3564,12
103,1-8820,17
104,1-8267,8
105,1-1258,9
106,MLG69,13
107,1-6971,3
108,1-9731,2
109,1-9768,11
110,72-18936,9
111,1-19897,6
112,1-10698,2
113,1-4499,6
114,1-7496,16
115,1-3178,12
116,1-20047,8
117,1-0358,4
118,1-6543,6
119,1-5929,4
120,1-10232,6
121,1-7070,10
122,MLG42,7
123,MLG55,11
124,1-8427,10
125,1-8622,22
126,1-8488,17
127,1-9643,17
128,1-19286,9
129,1-2573,22
130,1-1833,7
131,1-9283,16
132,1-9110,21
133,1-8576,1
134,1-9465,13
135,1-9712,2
136,1-9549,13
137,1-1972,9
138,1-5515,14
139,1-7863,15
140,1-2294,12
141,MLG45,5
142,P-16454,9
143,1-8928,13
144,1-7744,12
145,MLG06,2
146,1-7453,9
147,1-17657,3
148,1-0001,10
149,MLG58,6
150,1-7005,21
151,1-9870,9
152,1-9500,12
153,1-1350,10
154,1-18994,1
155,1-9447,2
156,1-8634,1
157,1-6061,20
158,1-7599,8
159,1-10696,1
160,1-19813,3
161,MLG41,18
162,1-8067,17
163,1-9137,5
