,exam,slot,Exam Group,Exam Block
0,1-6098,11,1-6098,11
1,1-9227,14,1-9227,14
2,1-6240,4,1-6240,4
3,1-6181,1,1-6181,1
4,MLG68,5,MLG68,5
5,MLG57,4,MLG57,4
6,MLG54,12,MLG54,12
7,MLG69,19,MLG69,19
8,1-10468,8,1-10468,8
9,1-3523,18,1-3523,18
10,MLG62,9,MLG62,9
11,MLG56,2,MLG56,2
12,1-7024,15,1-7024,15
13,1-1258,15,1-1258,15
14,1-1317,8,1-1317,8
15,1-1580,18,1-1580,18
16,1-7140,1,1-7140,1
17,1-7004,19,1-7004,19
18,MLG63,16,MLG63,16
19,1-7863,15,1-7863,15
20,1-8067,8,1-8067,8
21,MLG02,1,MLG02,1
22,MLG50,6,MLG50,6
23,1-7866,18,1-7866,18
24,1-3535,16,1-3535,16
25,1-18028,4,1-18028,4
26,1-18558,18,1-18558,18
27,1-1608,2,1-1608,2
28,1-7005,14,1-7005,14
29,1-3534,7,1-3534,7
30,1-10785,15,1-10785,15
31,1-9156,17,1-9156,17
32,1-7874,14,1-7874,14
33,1-6296,1,1-6296,1
34,MLG51,3,MLG51,3
35,1-7496,7,1-7496,7
36,MLG64,13,MLG64,13
37,1-5775,6,1-5775,6
38,1-4649,12,1-4649,12
39,1-9768,19,1-9768,19
40,1-7807,7,1-7807,7
41,1-9283,10,1-9283,10
42,1-8541,12,1-8541,12
43,MLG14,6,MLG14,6
44,1-0008,1,1-0008,1
45,1-3596,20,1-3596,20
46,1-2282,20,1-2282,20
47,1-0303,15,1-0303,15
48,MLG30,1,MLG30,1
49,1-6974,17,1-6974,17
50,1-7964,1,1-7964,1
51,MLG65,9,MLG65,9
52,1-7122,20,1-7122,20
53,1-8341,14,1-8341,14
54,1-1350,2,1-1350,2
55,1-1462,14,1-1462,14
56,1-8427,3,1-8427,3
57,MLG75,5,MLG75,5
58,MLG49,3,MLG49,3
59,1-8573,17,1-8573,17
60,1-3068,5,1-3068,5
61,1-6927,8,1-6927,8
62,1-6878,1,1-6878,1
63,1-3052,14,1-3052,14
64,MLG29,11,MLG29,11
65,1-4319,8,1-4319,8
66,MLG48,6,MLG48,6
67,1-3516,7,1-3516,7
68,1-1015,13,1-1015,13
69,MLG17,17,MLG17,17
70,1-1224,8,1-1224,8
71,1-4417,1,1-4417,1
72,1-9497,11,1-9497,11
73,MLG12,3,MLG12,3
74,1-8074,9,1-8074,9
75,1-2545,18,1-2545,18
76,1-2335,17,1-2335,17
77,1-9674,8,1-9674,8
78,1-1570,21,1-1570,21
79,1-0129,21,1-0129,21
80,1-0053,11,1-0053,11
81,1-7682,5,1-7682,5
82,1-8188,3,1-8188,3
83,MLG13,14,MLG13,14
84,1-2382,10,1-2382,10
85,1-1131,12,1-1131,12
86,1-8910,14,1-8910,14
87,1-3141,21,1-3141,21
88,1-8267,7,1-8267,7
89,1-9831,8,1-9831,8
90,1-7070,3,1-7070,3
91,1-9270,13,1-9270,13
92,1-6980,21,1-6980,21
93,MLG52,10,MLG52,10
94,1-1005,11,1-1005,11
95,1-5626,21,1-5626,21
96,MLG09,21,MLG09,21
97,1-1833,20,1-1833,20
98,1-5043,21,1-5043,21
99,1-8826,14,1-8826,14
100,1-5172,21,1-5172,21
101,1-18371,17,1-18371,17
102,1-17907,7,1-17907,7
103,1-3362,7,1-3362,7
104,1-9394,17,1-9394,17
105,1-7042,20,1-7042,20
106,1-9963,21,1-9963,21
