,Exam Group,Exam Block
0,1-6098,6
1,1-9227,12
2,1-6240,20
3,1-6181,2
4,MLG68,13
5,MLG57,20
6,MLG54,16
7,MLG69,11
8,1-10468,9
9,1-3523,7
10,MLG62,8
11,MLG56,18
12,1-7024,1
13,1-1258,1
14,1-1317,9
15,1-1580,7
16,1-7140,1
17,1-7004,11
18,MLG63,19
19,1-7863,13
20,1-8067,9
21,MLG02,2
22,MLG50,8
23,1-7866,11
24,1-3535,3
25,1-18028,4
26,1-18558,15
27,1-1608,18
28,1-7005,12
29,1-3534,17
30,1-10785,5
31,1-9156,3
32,1-7874,14
33,1-6296,2
34,MLG51,20
35,MLG64,4
36,1-5775,8
37,1-4649,11
38,1-9768,16
39,1-7807,17
40,1-9283,19
41,MLG14,8
42,1-0008,19
43,1-3596,15
44,1-2282,4
45,1-0303,1
46,MLG30,2
47,1-6974,3
48,MLG65,10
49,1-7122,15
50,1-8341,12
51,1-1350,18
52,1-1462,12
53,1-8427,19
54,MLG49,3
55,MLG75,22
56,1-3068,12
57,1-6927,9
58,1-6878,21
59,1-3052,14
60,MLG29,22
61,1-4319,9
62,MLG48,2
63,1-3516,12
64,1-1015,16
65,MLG17,10
66,1-1224,9
67,1-4417,2
68,1-9497,22
69,MLG12,22
70,1-8074,3
71,1-2545,7
72,1-2335,19
73,1-9674,9
74,1-0053,6
75,1-0129,5
76,1-1570,5
77,1-7682,22
78,MLG13,14
79,1-8188,1
80,1-2382,15
81,1-1131,10
82,1-8910,13
83,1-3141,5
84,1-8267,12
85,1-9831,9
86,1-7070,19
87,1-9270,5
88,1-6980,16
89,MLG52,16
90,MLG09,22
91,1-1005,6
92,1-5626,5
93,1-1833,16
94,1-5043,5
95,1-8826,12
96,1-18371,10
97,1-5172,5
98,1-17907,17
99,1-7042,12
100,1-9394,10
101,1-3362,21
102,MLG37,22
103,1-9963,5
104,1-8328,17
105,1-0272,17
106,1-9137,4
107,1-7441,21
108,1-7496,17
109,1-3447,21
110,1-7341,22
111,1-7152,13
112,1-8421,5
113,MLG08,15
114,1-7019,1
115,1-9646,17
116,MLG15,8
117,1-2670,22
118,1-9333,15
119,1-9404,9
120,1-11350,7
121,1-0292,13
122,1-1390,21
123,1-6693,6
124,1-5891,13
125,1-7897,3
126,1-4531,12
127,1-9925,8
128,1-3139,12
129,MLG55,21
130,MLG53,14
131,1-8659,17
132,MLG07,11
133,1-6611,12
134,1-1769,9
135,MLG11,15
136,1-4640,21
137,1-8066,2
138,1-8820,9
139,1-8084,6
140,1-9286,18
141,1-9491,19
142,1-7058,5
143,MLG78,15
144,1-7964,16
145,1-2423,2
146,1-0278,17
147,1-5877,14
148,1-3083,15
149,MLG38,10
150,1-9516,12
151,1-9417,9
152,1-10038,11
153,1-8157,22
154,1-2294,8
155,1-9808,15
156,1-17733,9
157,1-6914,9
158,1-7614,13
159,1-5197,9
160,1-8285,18
161,MLG59,21
162,MLG58,8
163,1-6692,10
164,72-12387,13
165,72-0103,1
166,1-6594,12
167,1-7268,19
168,MLG45,14
169,1-9645,18
170,1-6900,11
171,1-19547,7
172,1-1207,22
173,MLG41,10
174,1-6561,5
175,1-7467,3
176,1-0405,6
177,1-9498,17
178,MLG84,22
179,1-10539,19
180,1-6647,18
181,1-19915,18
182,1-2714,9
183,1-2701,19
184,1-8541,12
185,MLG10,4
186,1-9955,19
187,1-19004,1
188,1-7722,17
189,MLG44,22
190,1-7819,1
191,1-6743,16
192,1-9379,4
193,1-8094,22
194,1-8018,21
195,1-8021,22
196,1-8401,7
197,1-6006,12
198,1-20167,22
199,1-8020,1
200,1-8529,22
201,1-6787,19
202,1-8576,2
203,1-9938,9
204,1-8541,1
205,1-8622,2
206,1-8544,16
207,1-8398,22
208,1-8573,7
