,Exam Group,Exam Block
0,72-0103,2
1,1-9185,4
2,MLG17,3
3,1-8222,13
4,1-6240,9
5,1-5549,5
6,1-8021,8
7,1-8767,6
8,1-8181,7
9,1-8020,11
10,1-7964,2
11,1-9722,8
12,MLG84,3
13,1-9805,4
14,1-6098,15
15,1-8093,7
16,1-9955,16
17,1-18603,4
18,1-3521,8
19,1-2596,11
20,1-5167,11
21,1-3519,15
22,1-7995,2
23,1-2025,1
24,1-7140,13
25,1-9607,4
26,1-9907,6
27,1-18409,20
28,1-10071,19
29,1-18735,15
30,1-8418,4
31,1-8938,5
32,1-0022,18
33,1-7991,12
34,1-6642,15
35,1-2869,15
36,1-2714,3
37,1-5508,3
38,1-2104,12
39,1-7467,3
40,1-7722,15
41,1-7509,1
42,1-1207,4
43,1-8705,12
44,1-5214,10
45,1-9444,2
46,1-8566,9
47,1-19547,20
48,1-0405,15
49,1-2178,20
50,1-8174,16
51,1-9925,5
52,72-12387,2
53,1-9850,10
54,1-8125,4
55,1-8095,12
56,1-5877,12
57,1-1224,18
58,1-17733,18
59,1-9331,8
60,1-18202,5
61,1-7341,1
62,1-9818,8
63,1-7066,6
64,1-9674,5
65,1-8659,17
66,1-7536,16
67,1-7481,1
68,1-7845,4
69,1-18498,14
70,1-2584,9
71,1-6532,6
72,1-9614,15
73,1-5355,4
74,1-8124,1
75,1-8401,2
76,1-8541,7
77,1-2153,18
78,1-4088,5
79,1-9739,7
80,1-9115,4
81,1-7770,6
82,1-17645,8
83,1-18423,4
84,1-18714,2
85,1-8084,5
86,1-9345,3
87,MLG35,6
88,1-5626,12
89,1-18004,1
90,1-19222,12
91,72-12171,9
92,1-7807,17
93,1-20003,10
94,1-3083,7
95,1-3312,18
96,MLG37,1
97,1-9237,3
98,1-8127,17
99,1-5775,8
100,1-19598,10
101,1-9892,2
102,1-3564,3
103,1-8820,18
104,1-8267,17
105,1-1258,12
106,MLG69,20
107,1-6971,8
108,1-9731,12
109,1-9768,16
110,72-18936,16
111,1-19897,2
112,1-10698,8
113,1-4499,10
114,1-7496,17
115,1-3178,9
116,1-20047,7
117,1-0358,3
118,1-6543,3
119,1-5929,15
120,1-10232,10
121,1-7070,9
122,MLG42,9
123,MLG55,2
124,1-8427,9
125,1-8622,13
126,1-8488,5
127,1-9643,7
128,1-19286,19
129,1-2573,1
130,1-1833,16
131,1-9283,9
132,1-9110,7
133,1-8576,13
134,1-9465,4
135,1-9712,8
136,1-9549,16
137,1-1972,16
138,1-5515,9
139,1-7863,12
140,1-2294,18
141,MLG45,5
142,P-16454,8
143,1-8928,7
144,1-7744,3
145,MLG06,4
146,1-7453,12
147,1-17657,1
148,1-0001,3
149,MLG58,6
150,1-7005,11
151,1-9870,13
152,1-9500,5
153,1-1350,9
154,1-18994,2
155,1-9447,14
156,1-8634,2
157,1-6061,5
158,1-7599,18
159,1-10696,3
160,1-19813,3
161,MLG41,6
162,1-8067,18
163,1-9137,14
164,1-9740,16
165,1-7721,17
166,MLG40,3
167,1-4929,1
168,1-9655,7
169,1-9606,19
170,1-5043,4
171,1-8100,1
172,1-8573,18
173,1-9588,5
174,MLG38,5
175,1-4910,7
176,1-8042,3
177,1-10948,17
178,1-7525,1
179,1-4052,16
180,1-0037,1
181,1-8641,12
182,1-7752,19
183,1-9496,16
184,1-8074,14
185,1-8906,10
186,72-11994,4
187,1-7321,16
188,1-20167,15
189,1-9156,14
190,1-2382,2
191,1-8328,17
192,1-9770,2
193,1-9553,2
194,1-9253,16
195,1-2670,3
196,1-9646,10
197,1-8646,5
198,1-9839,3
199,MLG39,3
200,1-4634,10
201,1-9902,2
202,1-8988,13
203,1-1250,2
204,1-9733,17
205,1-8018,5
206,1-9752,13
207,1-7058,4
208,1-10468,18
209,1-9938,5
210,1-7842,19
211,1-5406,12
212,1-10922,11
213,1-18563,10
214,1-0053,1
215,1-19839,3
216,1-9887,1
217,1-9630,5
218,1-9416,3
219,1-5653,19
220,MLG73,9
221,1-8023,9
222,1-4149,4
223,1-0205,11
224,1-9227,11
225,1-9650,7
226,1-9996,12
227,1-3068,17
228,1-17835,15
229,1-4361,14
230,1-3089,15
231,1-8450,2
