,Exam Group,Exam Block
0,1-6098,1
1,1-9227,4
2,1-6240,5
3,1-6181,16
4,MLG68,15
5,MLG57,5
6,MLG54,3
7,MLG69,14
8,1-10468,6
9,1-3523,13
10,MLG62,7
11,MLG56,2
12,1-7024,17
13,1-1258,17
14,1-1317,6
15,1-1580,13
16,1-7140,16
17,1-7004,14
18,MLG63,8
19,1-7863,17
20,1-8067,6
21,MLG02,16
22,MLG50,11
23,1-7866,11
24,1-3535,12
25,1-18028,7
26,1-18558,15
27,1-1608,2
28,1-7005,20
29,1-3534,22
30,1-10785,17
31,1-9156,12
32,1-7874,18
33,1-6296,16
34,MLG51,5
35,MLG64,8
36,1-5775,10
37,1-4649,20
38,1-9768,12
39,1-7807,22
40,1-9283,21
41,MLG14,19
42,1-0008,10
43,1-3596,7
44,1-2282,7
45,1-0303,17
46,MLG30,16
47,1-6974,11
48,MLG65,8
49,1-7122,21
50,1-8341,20
51,1-1350,21
52,1-1462,4
53,1-8427,21
54,MLG49,10
55,MLG75,9
56,1-3068,2
57,1-6927,19
58,1-6878,22
59,1-3052,20
60,MLG29,9
61,1-4319,6
62,MLG48,18
63,1-3516,22
64,1-1015,22
65,MLG17,10
66,1-1224,6
67,1-4417,16
68,1-9497,1
69,MLG12,11
70,1-8074,10
71,1-2545,15
72,1-2335,9
73,1-9674,6
74,1-0053,1
75,1-0129,18
76,1-1570,21
77,1-7682,7
78,MLG13,4
79,1-8188,10
80,1-2382,7
81,1-1131,3
82,1-8910,3
83,1-3141,18
84,1-8267,22
85,1-9831,6
86,1-7070,21
87,1-9270,18
88,1-6980,19
89,MLG52,1
90,MLG09,19
91,1-1005,1
92,1-5626,18
93,1-1833,12
94,1-5043,18
95,1-8826,22
96,1-18371,12
97,1-5172,8
98,1-17907,3
99,1-7042,14
100,1-9394,12
101,1-3362,22
102,MLG37,7
103,1-9963,18
104,1-8328,13
105,1-0272,14
106,1-9137,8
107,1-7441,17
108,1-7496,9
109,1-3447,20
110,1-7341,14
111,1-7152,22
112,1-8421,18
113,MLG08,14
114,1-7019,19
115,1-9646,1
116,MLG15,8
117,1-2670,11
118,1-9333,11
119,1-9404,6
120,1-11350,13
121,1-0292,19
122,1-1390,19
123,1-6693,1
124,1-5891,15
125,1-7897,8
126,1-4531,20
127,1-9925,1
128,1-3139,20
129,MLG55,11
130,MLG53,11
131,1-8659,22
132,MLG07,22
133,1-6611,3
134,1-1769,6
135,MLG11,14
136,1-4640,22
137,1-8066,16
138,1-8820,6
139,1-8084,1
140,1-9286,2
141,1-9491,21
142,1-7058,13
143,MLG78,9
144,1-7964,15
145,1-2423,16
146,1-0278,10
147,1-5877,12
148,1-3083,5
149,MLG38,7
150,1-9516,22
151,1-9417,6
152,1-10038,14
153,1-8157,12
154,1-2294,6
155,1-9808,16
156,1-17733,6
157,1-6914,21
158,1-7614,8
159,1-5197,6
160,1-8285,7
161,MLG59,2
162,MLG58,10
163,1-6692,10
164,72-12387,10
165,72-0103,17
166,1-6594,19
167,1-7268,21
168,MLG45,21
169,1-9645,2
170,1-6900,9
171,1-19547,3
172,1-1207,21
173,MLG41,8
174,1-6561,18
175,1-7467,13
176,1-0405,1
177,1-9498,18
178,MLG84,14
179,1-10539,21
180,1-6647,21
181,1-19915,18
182,1-2714,7
183,1-2701,12
184,1-8541,2
185,MLG10,2
186,1-9955,15
187,1-19004,15
188,1-7722,22
189,MLG44,8
190,1-7819,4
191,1-6743,8
192,1-9379,19
193,1-8094,13
194,1-8018,10
195,1-8021,12
196,1-8401,22
197,1-6006,22
198,1-20167,1
199,1-8020,1
200,1-8529,13
201,1-6787,21
202,1-8576,9
203,1-9938,6
204,1-8541,19
205,1-8622,15
206,1-8544,1
207,1-8398,14
208,1-8573,15
209,1-5355,18
210,1-19897,1
211,1-1191,22
212,1-8450,12
213,MLG32,10
214,1-6227,18
215,1-8042,13
216,1-8397,18
217,MLG40,9
218,1-9770,10
219,1-2400,22
220,1-4355,13
221,MLG35,9
222,1-9610,12
223,1-6228,5
224,1-8767,7
225,1-8705,21
226,1-9277,20
227,1-4634,1
228,MLG60,14
229,1-1957,12
230,1-18423,1
231,1-9345,7
232,1-3587,14
233,1-9794,9
234,1-8095,4
235,1-8418,4
236,1-10451,11
237,1-1989,21
238,1-7991,2
239,1-3206,12
240,1-6216,13
241,1-4390,20
242,1-8174,6
243,1-19166,20
244,1-5002,3
245,1-1183,10
246,1-19448,5
247,1-6734,18
248,1-6217,6
249,1-6538,12
250,1-6918,22
251,1-6916,11
252,1-6919,1
253,1-18234,9
254,1-9578,14
255,1-2025,21
256,1-0296,10
257,1-3564,14
258,1-17758,13
259,1-8172,4
260,1-6061,1
261,1-5214,9
262,1-7509,18
263,1-4760,15
264,1-19286,1
265,1-8573,22
266,1-5413,9
267,1-1204,13
268,1-9496,1
269,1-8928,19
270,1-19229,21
271,1-5508,9
272,1-8551,22
273,1-9237,18
274,1-8493,1
275,1-9651,17
276,1-7744,18
277,1-2573,3
278,1-4020,2
279,1-7845,10
280,1-3312,22
281,1-6909,18
282,1-9887,13
283,1-6642,1
284,1-8314,18
285,1-10060,19
286,1-2584,4
287,1-2104,8
288,1-0037,19
289,1-2596,14
290,1-9761,3
291,1-3509,16
292,1-5549,6
293,1-1770,11
294,1-3106,5
295,1-1942,20
296,1-9740,13
297,1-1250,10
298,1-0205,4
299,1-7481,4
300,1-18709,1
301,MLG31,7
302,1-9630,18
303,1-8400,21
304,1-9500,17
305,1-8127,8
306,1-1972,10
307,1-18714,15
308,1-1592,22
309,1-9185,10
310,1-9739,7
311,1-4700,22
312,1-1850,9
313,1-10071,11
314,1-18935,7
315,1-4088,16
316,1-9504,14
317,1-9902,19
318,1-8641,1
319,1-8938,1
320,1-9614,1
