,exam,slot,Exam Group,Exam Block
0,1-6098,18,1-6098,18
1,1-9227,4,1-9227,4
2,1-6240,8,1-6240,8
3,1-6181,1,1-6181,1
4,MLG68,19,MLG68,19
5,MLG57,14,MLG57,14
6,MLG54,9,MLG54,9
7,MLG69,3,MLG69,3
8,1-10468,10,1-10468,10
9,1-3523,7,1-3523,7
10,MLG62,2,MLG62,2
11,MLG56,5,MLG56,5
12,1-7024,12,1-7024,12
13,1-1258,17,1-1258,17
14,1-1317,10,1-1317,10
15,1-1580,7,1-1580,7
16,1-7140,1,1-7140,1
17,1-7004,20,1-7004,20
18,MLG63,17,MLG63,17
19,1-7863,13,1-7863,13
20,1-8067,10,1-8067,10
21,MLG02,1,MLG02,1
22,MLG50,14,MLG50,14
23,1-7866,7,1-7866,7
24,1-3535,16,1-3535,16
25,1-18028,19,1-18028,19
26,1-18558,7,1-18558,7
27,1-1608,5,1-1608,5
28,1-7005,4,1-7005,4
29,1-3534,6,1-3534,6
30,1-10785,17,1-10785,17
31,1-9156,12,1-9156,12
32,1-7874,4,1-7874,4
33,1-6296,1,1-6296,1
34,MLG51,8,MLG51,8
35,1-7496,20,1-7496,20
36,MLG64,11,MLG64,11
37,1-5775,19,1-5775,19
38,1-4649,4,1-4649,4
39,1-9768,19,1-9768,19
40,1-7807,11,1-7807,11
41,1-9283,8,1-9283,8
42,1-8541,4,1-8541,4
43,MLG14,15,MLG14,15
44,1-0008,1,1-0008,1
45,1-3596,15,1-3596,15
46,1-2282,2,1-2282,2
47,1-0303,21,1-0303,21
48,MLG30,1,MLG30,1
49,1-6974,12,1-6974,12
50,1-7964,1,1-7964,1
51,MLG65,9,MLG65,9
52,1-7122,21,1-7122,21
53,1-8341,4,1-8341,4
54,1-1350,21,1-1350,21
55,1-1462,9,1-1462,9
56,1-8427,9,1-8427,9
57,MLG75,23,MLG75,23
58,MLG49,21,MLG49,21
59,1-8573,11,1-8573,11
60,1-3068,5,1-3068,5
61,1-6927,10,1-6927,10
62,1-6878,1,1-6878,1
63,1-3052,23,1-3052,23
64,MLG29,18,MLG29,18
65,1-4319,10,1-4319,10
66,MLG48,13,MLG48,13
67,1-3516,20,1-3516,20
68,1-1015,14,1-1015,14
69,MLG17,23,MLG17,23
70,1-1224,10,1-1224,10
71,1-4417,1,1-4417,1
72,1-9497,18,1-9497,18
73,MLG12,15,MLG12,15
74,1-8074,16,1-8074,16
75,1-2545,22,1-2545,22
76,1-2335,16,1-2335,16
77,1-9674,10,1-9674,10
78,1-1570,13,1-1570,13
79,1-0129,13,1-0129,13
80,1-0053,18,1-0053,18
81,1-7682,23,1-7682,23
82,1-8188,20,1-8188,20
83,MLG13,22,MLG13,22
84,1-2382,6,1-2382,6
85,1-1131,6,1-1131,6
86,1-8910,5,1-8910,5
87,1-3141,13,1-3141,13
88,1-8267,6,1-8267,6
89,1-9831,10,1-9831,10
90,1-7070,22,1-7070,22
91,1-9270,13,1-9270,13
92,1-6980,15,1-6980,15
93,MLG52,9,MLG52,9
94,1-1005,18,1-1005,18
95,1-5626,13,1-5626,13
96,MLG09,22,MLG09,22
97,1-1833,14,1-1833,14
98,1-5043,13,1-5043,13
99,1-8826,21,1-8826,21
100,1-5172,13,1-5172,13
101,1-18371,16,1-18371,16
102,1-17907,20,1-17907,20
103,1-3362,20,1-3362,20
104,1-9394,16,1-9394,16
105,1-7042,4,1-7042,4
106,1-9963,13,1-9963,13
107,MLG37,7,MLG37,7
108,1-8328,20,1-8328,20
109,1-7441,13,1-7441,13
110,1-9137,2,1-9137,2
111,1-0272,20,1-0272,20
112,1-3447,4,1-3447,4
113,1-7341,13,1-7341,13
114,1-7152,5,1-7152,5
115,1-8421,13,1-8421,13
116,MLG08,19,MLG08,19
117,1-7019,16,1-7019,16
118,MLG15,9,MLG15,9
119,1-9646,19,1-9646,19
120,1-2670,15,1-2670,15
121,1-9333,16,1-9333,16
122,1-9404,10,1-9404,10
123,1-11350,3,1-11350,3
124,1-0292,1,1-0292,1
125,1-1390,15,1-1390,15
126,1-6693,18,1-6693,18
127,1-5891,19,1-5891,19
128,1-7897,16,1-7897,16
129,1-4531,4,1-4531,4
130,1-3139,4,1-3139,4
131,1-9925,10,1-9925,10
132,MLG55,14,MLG55,14
133,MLG53,5,MLG53,5
