,Exam Group,Exam Block
0,1-6098,12
1,1-9227,9
2,1-6240,15
3,1-6181,6
4,MLG68,7
5,MLG57,4
6,MLG54,16
7,MLG69,17
8,1-3523,1
9,MLG62,8
10,MLG56,16
11,1-7024,1
12,1-10468,18
13,1-1258,14
14,1-1317,5
15,1-1580,10
16,1-7140,6
17,1-7004,17
18,MLG63,14
19,1-7863,5
20,MLG02,6
21,1-3535,15
22,1-7866,8
23,1-8067,5
24,MLG50,11
25,1-18028,17
26,1-1608,3
27,1-18558,10
28,1-7005,7
29,1-10785,11
30,1-3534,2
31,1-9156,19
32,1-7874,18
33,1-6296,6
34,MLG51,4
35,1-9283,15
36,1-9768,14
37,1-4649,17
38,MLG64,3
39,1-5775,14
40,MLG14,7
41,1-7807,19
42,1-0008,4
43,1-3596,17
44,MLG30,6
45,1-0303,16
46,1-1350,15
47,1-2282,16
48,MLG65,17
49,1-6951,13
50,1-6974,15
51,1-8341,9
52,1-8427,17
53,1-7122,8
54,1-6948,10
55,1-1462,9
56,MLG49,8
57,MLG75,3
58,1-3068,2
59,MLG29,12
60,1-3052,9
61,1-6878,6
62,1-6927,18
63,1-4319,18
64,1-3141,14
65,1-1015,19
66,1-1131,8
67,MLG13,9
68,MLG48,13
69,1-3516,2
70,1-4417,6
71,1-9497,12
72,1-7682,1
73,MLG17,19
74,1-2335,8
75,1-1224,18
76,1-9674,18
77,1-0053,12
78,1-8074,13
79,MLG12,19
80,MLG18,1
81,1-1570,13
82,1-0129,11
83,1-2382,10
84,1-2545,10
85,1-8188,2
86,1-9270,13
87,1-5043,11
88,1-8910,9
89,1-8267,2
90,1-9831,18
91,1-5626,11
92,1-18371,1
93,MLG52,4
94,1-8826,2
95,1-6980,4
96,1-1833,4
97,MLG09,14
98,1-5172,13
99,MLG37,19
100,1-9394,8
101,1-1005,12
102,1-7042,7
103,1-18061,14
104,1-9404,18
105,1-7496,2
106,1-17907,2
107,1-3447,9
108,1-7070,1
109,1-7152,2
110,1-3362,2
