,Exam Group,Exam Block
0,72-0103,4
1,1-9185,2
2,MLG17,3
3,1-8222,18
4,1-6240,14
5,1-5549,1
6,1-8021,12
7,1-8767,7
8,1-8181,15
9,1-8020,8
10,1-7964,17
11,1-9722,19
12,MLG84,1
13,1-9805,13
14,1-6098,15
15,1-8093,2
16,1-9955,6
17,1-18603,18
18,1-3521,9
19,1-2596,10
20,1-5167,4
21,1-3519,12
22,1-7995,5
23,1-2025,12
24,1-7140,7
25,1-9607,3
26,1-9907,1
27,1-18409,10
28,1-10071,13
29,1-18735,9
30,1-8418,8
31,1-8938,5
32,1-0022,14
33,1-7991,2
34,1-6642,16
35,1-2869,12
36,1-2714,13
37,1-5508,3
38,1-2104,12
39,1-7467,2
40,1-7722,6
41,1-7509,17
42,1-1207,3
43,1-8705,7
44,1-5214,3
45,1-9444,13
46,1-8566,1
47,1-19547,19
48,1-0405,15
49,1-2178,3
50,1-8174,6
51,1-9925,15
52,72-12387,11
53,1-9850,2
54,1-8125,1
55,1-8095,7
56,1-5877,8
57,1-1224,8
58,1-17733,16
59,1-9331,18
60,1-18202,7
61,1-7341,1
62,1-9818,3
63,1-7066,7
64,1-9674,3
65,1-8659,12
66,1-7536,14
67,1-7481,4
68,1-7845,9
69,1-18498,6
70,1-2584,10
71,1-6532,17
72,1-9614,2
73,1-5355,9
74,1-8124,2
75,1-8401,17
76,1-8541,5
77,1-2153,5
78,1-4088,4
79,1-9739,18
80,1-9115,2
81,1-7770,1
82,1-17645,10
83,1-18423,19
84,1-18714,12
85,1-8084,15
86,1-9345,2
87,MLG35,13
88,1-5626,9
89,1-18004,1
90,1-19222,2
91,72-12171,7
92,1-7807,19
93,1-20003,12
94,1-3083,5
95,1-3312,15
96,MLG37,18
97,1-9237,18
98,1-8127,11
99,1-5775,6
100,1-19598,12
101,1-9892,13
102,1-3564,3
103,1-8820,11
104,1-8267,8
105,1-1258,7
106,MLG69,10
107,1-6971,10
108,1-9731,7
109,1-9768,6
110,72-18936,4
111,1-19897,19
112,1-10698,14
113,1-4499,7
114,1-7496,19
115,1-3178,13
116,1-20047,9
117,1-0358,3
118,1-6543,18
119,1-5929,12
120,1-10232,13
121,1-7070,2
122,MLG42,20
123,MLG55,8
124,1-8427,2
125,1-8622,11
126,1-8488,5
127,1-9643,11
128,1-19286,15
129,1-2573,20
130,1-1833,6
131,1-9283,14
132,1-9110,12
133,1-8576,17
134,1-9465,3
135,1-9712,2
136,1-9549,8
137,1-1972,13
138,1-5515,4
139,1-7863,9
140,1-2294,11
141,MLG45,3
142,P-16454,12
143,1-8928,3
144,1-7744,9
145,MLG06,3
146,1-7453,14
147,1-17657,2
148,1-0001,8
149,MLG58,20
150,1-7005,4
151,1-9870,19
152,1-9500,19
153,1-1350,14
154,1-18994,5
155,1-9447,14
156,1-8634,3
157,1-6061,15
158,1-7599,9
159,1-10696,3
160,1-19813,8
161,MLG41,13
162,1-8067,16
163,1-9137,1
164,1-9740,20
165,1-7721,7
166,MLG40,3
167,1-4929,1
168,1-9655,11
169,1-9606,5
170,1-5043,9
171,1-8100,11
172,1-8573,1
173,1-9588,11
174,MLG38,1
175,1-4910,10
176,1-8042,2
177,1-10948,12
178,1-7525,4
179,1-4052,1
180,1-0037,9
181,1-8641,1
182,1-7752,14
183,1-9496,15
184,1-8074,6
185,1-8906,2
186,72-11994,18
187,1-7321,5
188,1-20167,15
189,1-9156,6
190,1-2382,1
191,1-8328,20
192,1-9770,6
193,1-9553,1
194,1-9253,8
195,1-2670,8
196,1-9646,5
197,1-8646,20
198,1-9839,11
199,MLG39,1
200,1-4634,15
201,1-9902,7
202,1-8988,18
203,1-1250,8
204,1-9733,4
205,1-8018,2
206,1-9752,17
207,1-7058,2
208,1-10468,16
209,1-9938,16
210,1-7842,8
211,1-5406,14
212,1-10922,10
213,1-18563,1
214,1-0053,15
215,1-19839,1
216,1-9887,18
217,1-9630,10
218,1-9416,18
219,1-5653,11
220,MLG73,12
221,1-8023,2
222,1-4149,4
223,1-0205,4
224,1-9227,4
225,1-9650,16
226,1-9996,14
227,1-3068,2
228,1-17835,20
229,1-4361,11
230,1-3089,4
231,1-8450,12
232,1-18371,6
233,MLG07,10
234,MLG29,15
235,1-8113,8
236,1-7024,7
237,1-9667,1
238,1-9855,6
239,1-7042,19
240,MLG33,1
241,1-19448,10
242,1-20791,6
243,1-1015,19
244,MLG57,8
245,1-6647,18
246,MLG56,12
247,1-20467,2
248,1-2400,17
249,1-6931,10
250,1-9333,6
251,1-7268,3
252,1-21195,10
253,1-4649,4
254,1-8379,2
255,1-9946,18
256,1-9277,4
257,1-9504,1
258,1-9516,4
259,1-3596,1
260,1-0129,9
261,1-1942,3
262,1-8623,8
263,1-6927,16
264,P-0009,6
265,1-11330,2
266,1-2103,20
267,1-6181,17
268,MLG44,13
269,1-7839,18
270,1-1390,1
271,1-7897,6
272,1-1570,9
273,1-3589,4
274,1-0033,3
275,1-3216,2
276,1-9495,16
277,1-4051,2
278,1-10762,17
279,MLG43,1
280,1-7608,2
281,1-9995,7
282,1-1608,14
283,1-3535,6
284,1-4136,2
285,1-18615,18
286,1-3587,19
287,1-9836,4
288,1-8590,1
289,1-1592,4
290,1-8341,4
291,MLG02,17
292,1-9997,3
293,1-8066,17
294,1-3509,7
295,1-3639,16
296,1-9404,16
297,1-8352,13
298,1-7019,18
299,MLG54,20
300,1-4020,6
301,1-1177,12
302,MLG51,12
303,1-8157,11
304,1-19004,8
305,1-7866,5
306,1-18377,2
307,1-5530,11
308,1-6743,20
309,1-3516,19
310,1-4855,2
311,1-20578,20
312,1-3108,2
313,1-7521,1
314,1-3139,4
315,1-1769,16
316,1-7441,10
317,1-10978,13
318,1-2324,18
319,1-3584,15
320,MLG13,3
321,1-5172,9
322,1-0296,2
323,1-3647,7
324,1-6734,9
325,1-19924,13
326,1-8826,2
327,P-16616,1
328,1-9497,15
329,1-1317,16
330,1-4531,4
331,MLG75,11
332,MLG78,13
333,1-11329,10
334,1-20641,9
335,1-8910,4
336,1-1827,20
337,1-18613,4
338,1-6296,17
339,1-3523,5
340,1-3362,19
341,1-0031,5
342,MLG65,13
343,1-4319,16
344,1-6035,15
345,1-1131,20
346,MLG32,17
347,1-8188,8
348,1-17758,5
349,1-3052,3
350,1-2282,1
351,1-19229,2
352,MLG63,13
353,MLG50,12
354,1-9417,16
355,1-9498,7
356,1-9761,19
357,1-4760,8
358,1-9831,16
359,1-4417,13
360,1-6611,19
361,1-0008,20
362,1-1462,4
363,1-10785,9
364,1-7682,3
365,MLG48,17
