,Exam Group,Exam Block
0,72-0103,11
1,1-9185,4
2,MLG17,21
3,1-8222,10
4,1-6240,14
5,1-5549,3
6,1-8021,3
7,1-8767,16
8,1-8181,13
9,1-8020,17
10,1-7964,8
11,1-9722,16
12,MLG84,21
13,1-9805,18
14,1-6098,10
15,1-8093,18
16,1-9955,9
17,1-18603,11
18,1-3521,11
19,1-2596,1
20,1-5167,5
21,1-3519,17
22,1-7995,8
23,1-2025,14
24,1-7140,15
25,1-9607,12
26,1-9907,18
27,1-18409,12
28,1-10071,16
29,1-18735,4
30,1-8418,12
31,1-8938,8
32,1-0022,1
33,1-7991,11
34,1-6642,3
35,1-2869,4
36,1-2714,8
37,1-5508,19
38,1-2104,8
39,1-7467,12
40,1-7722,8
41,1-7509,18
42,1-1207,19
43,1-8705,20
44,1-5214,6
45,1-9444,4
46,1-8566,3
47,1-19547,4
48,1-0405,7
49,1-2178,2
50,1-8174,2
51,1-9925,5
52,72-12387,17
53,1-9850,6
54,1-8125,8
55,1-8095,8
56,1-5877,2
57,1-1224,4
58,1-17733,5
59,1-9331,18
60,1-18202,13
61,1-7341,9
62,1-9818,19
63,1-7066,6
64,1-9674,5
65,1-8659,7
66,1-7536,8
67,1-7481,13
68,1-7845,1
69,1-18498,6
70,1-2584,2
71,1-6532,12
72,1-9614,3
73,1-5355,4
74,1-8124,5
75,1-8401,18
76,1-8541,19
77,1-2153,14
78,1-4088,5
79,1-9739,8
80,1-9115,8
81,1-7770,10
82,1-17645,5
83,1-18423,19
84,1-18714,2
85,1-8084,10
86,1-9345,18
87,MLG35,4
88,1-5626,1
89,1-18004,5
90,1-19222,10
91,72-12171,9
92,1-7807,6
93,1-20003,7
94,1-3083,3
95,1-3312,5
96,MLG37,16
97,1-9237,13
98,1-8127,10
99,1-5775,11
100,1-19598,12
101,1-9892,12
102,1-3564,21
103,1-8820,5
104,1-8267,6
105,1-1258,10
106,MLG69,14
107,1-6971,17
108,1-9731,16
109,1-9768,20
110,72-18936,14
111,1-19897,4
112,1-10698,9
113,1-4499,1
114,1-7496,6
115,1-3178,13
116,1-20047,6
117,1-0358,11
118,1-6543,15
119,1-5929,7
120,1-10232,18
121,1-7070,2
122,MLG42,11
123,MLG55,13
124,1-8427,14
125,1-8622,15
126,1-8488,6
