,Exam Group,Exam Block
0,72-0103,19
1,1-9185,8
2,MLG17,15
3,1-8222,8
4,1-6240,13
5,1-5549,4
6,1-8021,5
7,1-8767,1
8,1-8181,8
9,1-8020,12
10,1-7964,9
11,1-9722,5
12,MLG84,21
13,1-9805,7
14,1-6098,18
15,1-8093,2
16,1-9955,14
17,1-18603,2
18,1-3521,17
19,1-2596,12
20,1-5167,4
21,1-3519,5
22,1-7995,18
23,1-2025,1
24,1-7140,18
25,1-9607,3
26,1-9907,16
27,1-18409,10
28,1-10071,2
29,1-18735,20
30,1-8418,14
31,1-8938,14
32,1-0022,1
33,1-7991,10
34,1-6642,1
35,1-2869,10
36,1-2714,11
37,1-5508,14
38,1-2104,1
39,1-7467,9
40,1-7722,17
41,1-7509,16
42,1-1207,11
43,1-8705,1
44,1-5214,2
45,1-9444,20
46,1-8566,5
47,1-19547,10
48,1-0405,18
49,1-2178,3
50,1-8174,7
51,1-9925,3
52,72-12387,3
53,1-9850,3
54,1-8125,1
55,1-8095,2
56,1-5877,11
57,1-1224,1
58,1-17733,2
59,1-9331,17
60,1-18202,14
61,1-7341,2
62,1-9818,4
63,1-7066,18
64,1-9674,11
65,1-8659,10
66,1-7536,6
67,1-7481,15
68,1-7845,3
69,1-18498,9
70,1-2584,7
71,1-6532,6
72,1-9614,4
73,1-5355,3
74,1-8124,8
75,1-8401,13
76,1-8541,7
77,1-2153,9
78,1-4088,19
79,1-9739,1
80,1-9115,2
81,1-7770,7
82,1-17645,4
83,1-18423,15
84,1-18714,6
85,1-8084,3
86,1-9345,13
87,MLG35,1
88,1-5626,20
89,1-18004,1
90,1-19222,7
91,72-12171,7
92,1-7807,17
93,1-20003,17
94,1-3083,10
95,1-3312,3
96,MLG37,15
97,1-9237,1
98,1-8127,3
99,1-5775,8
100,1-19598,3
101,1-9892,1
102,1-3564,9
103,1-8820,11
104,1-8267,19
105,1-1258,20
106,MLG69,17
107,1-6971,2
108,1-9731,10
109,1-9768,6
110,72-18936,16
111,1-19897,9
112,1-10698,3
113,1-4499,8
114,1-7496,16
115,1-3178,1
116,1-20047,2
117,1-0358,12
118,1-6543,1
119,1-5929,15
120,1-10232,16
121,1-7070,16
122,MLG42,13
123,MLG55,6
124,1-8427,5
125,1-8622,10
126,1-8488,2
127,1-9643,11
128,1-19286,10
129,1-2573,13
130,1-1833,8
131,1-9283,5
132,1-9110,14
133,1-8576,14
134,1-9465,13
135,1-9712,9
136,1-9549,17
