,exam,slot,Exam Group,Exam Block
0,1-6098,7,1-6098,7
1,1-9227,1,1-9227,1
2,1-6240,11,1-6240,11
3,1-6181,18,1-6181,18
4,MLG68,17,MLG68,17
5,MLG57,16,MLG57,16
6,MLG54,12,MLG54,12
7,MLG69,13,MLG69,13
8,1-10468,5,1-10468,5
9,1-3523,3,1-3523,3
10,MLG62,4,MLG62,4
11,MLG56,13,MLG56,13
12,1-7024,9,1-7024,9
13,1-1258,15,1-1258,15
14,1-1317,6,1-1317,6
15,1-1580,2,1-1580,2
16,1-7140,18,1-7140,18
17,1-7004,8,1-7004,8
18,MLG63,3,MLG63,3
19,1-7863,14,1-7863,14
20,1-8067,6,1-8067,6
21,MLG02,18,MLG02,18
22,MLG50,15,MLG50,15
23,1-7866,3,1-7866,3
24,1-3535,10,1-3535,10
25,1-18028,13,1-18028,13
26,1-18558,17,1-18558,17
27,1-1608,11,1-1608,11
28,1-7005,1,1-7005,1
29,1-3534,8,1-3534,8
30,1-10785,14,1-10785,14
31,1-9156,10,1-9156,10
32,1-7874,19,1-7874,19
33,1-6296,18,1-6296,18
34,MLG51,16,MLG51,16
35,1-7496,8,1-7496,8
36,MLG64,19,MLG64,19
37,1-5775,20,1-5775,20
38,1-4649,13,1-4649,13
39,1-9768,20,1-9768,20
40,1-7807,8,1-7807,8
41,1-9283,11,1-9283,11
42,1-8541,1,1-8541,1
43,MLG14,2,MLG14,2
44,1-0008,18,1-0008,18
45,1-3596,4,1-3596,4
46,1-2282,4,1-2282,4
47,1-0303,20,1-0303,20
48,MLG30,18,MLG30,18
49,1-6974,20,1-6974,20
50,1-7964,18,1-7964,18
51,MLG65,4,MLG65,4
52,1-7122,10,1-7122,10
53,1-8341,1,1-8341,1
54,1-1350,11,1-1350,11
55,1-1462,1,1-1462,1
56,1-8427,11,1-8427,11
57,MLG75,9,MLG75,9
58,MLG49,20,MLG49,20
59,1-8573,5,1-8573,5
60,1-3068,8,1-3068,8
61,1-6927,19,1-6927,19
62,1-6878,18,1-6878,18
63,1-3052,1,1-3052,1
64,MLG29,7,MLG29,7
65,1-4319,5,1-4319,5
66,MLG48,6,MLG48,6
67,1-3516,8,1-3516,8
68,1-1015,8,1-1015,8
69,MLG17,20,MLG17,20
70,1-1224,16,1-1224,16
71,1-4417,18,1-4417,18
72,1-9497,7,1-9497,7
73,MLG12,12,MLG12,12
74,1-8074,10,1-8074,10
75,1-2545,2,1-2545,2
76,1-2335,10,1-2335,10
77,1-9674,6,1-9674,6
78,1-1570,14,1-1570,14
79,1-0129,15,1-0129,15
80,1-0053,7,1-0053,7
81,1-7682,11,1-7682,11
82,1-8188,20,1-8188,20
83,MLG13,1,MLG13,1
84,1-2382,4,1-2382,4
85,1-1131,12,1-1131,12
86,1-8910,1,1-8910,1
87,1-3141,14,1-3141,14
88,1-8267,8,1-8267,8
89,1-9831,5,1-9831,5
90,1-7070,11,1-7070,11
91,1-9270,14,1-9270,14
92,1-6980,14,1-6980,14
93,MLG52,12,MLG52,12
94,1-1005,7,1-1005,7
95,1-5626,14,1-5626,14
96,MLG09,20,MLG09,20
97,1-1833,4,1-1833,4
98,1-5043,15,1-5043,15
99,1-8826,1,1-8826,1
100,1-5172,14,1-5172,14
101,1-18371,10,1-18371,10
102,1-17907,8,1-17907,8
103,1-3362,8,1-3362,8
104,1-9394,10,1-9394,10
105,1-7042,2,1-7042,2
106,1-9963,14,1-9963,14
107,MLG37,2,MLG37,2
108,1-8328,8,1-8328,8
109,1-7441,14,1-7441,14
110,1-9137,6,1-9137,6
111,1-0272,8,1-0272,8
112,1-3447,4,1-3447,4
113,1-7341,7,1-7341,7
114,1-7152,8,1-7152,8
115,1-8421,14,1-8421,14
116,MLG08,15,MLG08,15
117,1-7019,9,1-7019,9
118,MLG15,4,MLG15,4
119,1-9646,12,1-9646,12
120,1-2670,20,1-2670,20
121,1-9333,20,1-9333,20
122,1-9404,6,1-9404,6
123,1-11350,2,1-11350,2
124,1-0292,18,1-0292,18
125,1-1390,16,1-1390,16
126,1-6693,7,1-6693,7
127,1-5891,17,1-5891,17
128,1-7897,10,1-7897,10
129,1-4531,1,1-4531,1
130,1-3139,1,1-3139,1
131,1-9925,5,1-9925,5
132,MLG55,20,MLG55,20
133,MLG53,15,MLG53,15
134,1-8659,8,1-8659,8
135,MLG07,1,MLG07,1
136,1-1769,5,1-1769,5
137,1-6611,8,1-6611,8
138,1-4640,8,1-4640,8
139,MLG11,15,MLG11,15
140,1-8066,17,1-8066,17
141,1-8820,5,1-8820,5
142,1-8084,7,1-8084,7
143,1-9286,11,1-9286,11
144,1-7058,17,1-7058,17
145,1-9491,20,1-9491,20
146,MLG78,15,MLG78,15
147,1-2423,12,1-2423,12
148,1-0278,15,1-0278,15
149,1-5877,14,1-5877,14
150,1-3083,3,1-3083,3
151,MLG38,4,MLG38,4
152,1-10038,16,1-10038,16
153,1-9516,1,1-9516,1
154,1-9417,6,1-9417,6
155,1-8157,10,1-8157,10
156,1-2294,5,1-2294,5
157,1-17733,6,1-17733,6
158,1-9808,18,1-9808,18
159,1-6914,1,1-6914,1
160,1-5197,6,1-5197,6
161,1-8285,11,1-8285,11
162,1-7614,20,1-7614,20
163,1-6692,12,1-6692,12
164,72-0103,1,72-0103,1
165,MLG59,5,MLG59,5
166,MLG58,12,MLG58,12
167,72-12387,14,72-12387,14
168,MLG45,5,MLG45,5
169,1-7268,11,1-7268,11
170,1-6594,20,1-6594,20
171,1-9645,9,1-9645,9
172,1-6900,20,1-6900,20
173,1-1207,1,1-1207,1
174,MLG41,19,MLG41,19
175,1-19547,8,1-19547,8
176,1-6561,14,1-6561,14
177,1-9498,14,1-9498,14
178,1-0405,13,1-0405,13
179,1-7467,20,1-7467,20
180,1-10539,20,1-10539,20
181,MLG84,6,MLG84,6
182,1-6647,9,1-6647,9
183,1-19915,14,1-19915,14
184,1-2701,19,1-2701,19
185,1-2714,4,1-2714,4
186,1-19004,17,1-19004,17
187,1-9955,1,1-9955,1
188,1-7722,8,1-7722,8
189,MLG10,20,MLG10,20
190,1-7819,1,1-7819,1
191,MLG44,19,MLG44,19
192,1-8021,20,1-8021,20
193,1-8094,3,1-8094,3
194,1-8018,20,1-8018,20
195,1-9379,9,1-9379,9
196,1-6743,4,1-6743,4
197,1-6006,1,1-6006,1
198,1-8401,20,1-8401,20
199,1-20167,4,1-20167,4
200,1-8020,1,1-8020,1
201,1-8529,10,1-8529,10
202,1-6787,4,1-6787,4
203,1-9938,6,1-9938,6
204,1-8576,18,1-8576,18
205,1-8398,4,1-8398,4
206,1-8544,8,1-8544,8
207,1-8622,16,1-8622,16
208,1-5355,14,1-5355,14
209,1-19897,2,1-19897,2
210,1-1191,10,1-1191,10
211,1-8042,19,1-8042,19
212,MLG32,19,MLG32,19
213,1-6227,19,1-6227,19
214,1-8450,12,1-8450,12
215,MLG40,3,MLG40,3
216,1-8397,4,1-8397,4
217,1-9770,10,1-9770,10
218,1-9610,10,1-9610,10
219,1-2400,8,1-2400,8
220,MLG35,19,MLG35,19
221,1-4355,3,1-4355,3
222,1-8705,18,1-8705,18
223,1-6228,1,1-6228,1
224,1-9277,1,1-9277,1
225,1-8767,4,1-8767,4
226,1-4634,8,1-4634,8
227,1-1957,10,1-1957,10
228,MLG60,2,MLG60,2
229,1-18423,1,1-18423,1
230,1-9345,11,1-9345,11
231,1-7991,15,1-7991,15
232,1-8095,1,1-8095,1
233,1-3587,13,1-3587,13
234,1-10451,12,1-10451,12
235,1-1989,19,1-1989,19
236,1-9794,10,1-9794,10
237,1-8418,20,1-8418,20
238,1-4390,1,1-4390,1
239,1-5002,7,1-5002,7
240,1-8174,4,1-8174,4
241,1-6216,1,1-6216,1
242,1-3206,13,1-3206,13
243,1-19166,13,1-19166,13
244,1-19448,10,1-19448,10
245,1-1183,10,1-1183,10
246,1-6538,11,1-6538,11
247,1-6734,14,1-6734,14
248,1-6217,4,1-6217,4
249,1-6916,1,1-6916,1
250,1-18234,20,1-18234,20
251,1-6919,19,1-6919,19
252,1-6918,8,1-6918,8
253,1-9578,20,1-9578,20
254,1-2025,20,1-2025,20
255,1-3564,3,1-3564,3
256,1-0296,3,1-0296,3
257,1-19286,5,1-19286,5
258,1-17758,5,1-17758,5
259,1-7509,17,1-7509,17
260,1-4760,17,1-4760,17
261,1-5214,8,1-5214,8
262,1-8172,10,1-8172,10
263,1-6061,12,1-6061,12
264,1-8928,13,1-8928,13
265,1-1204,10,1-1204,10
266,1-9496,5,1-9496,5
267,1-5413,16,1-5413,16
268,1-8493,15,1-8493,15
269,1-8551,1,1-8551,1
270,1-9651,20,1-9651,20
271,1-5508,1,1-5508,1
272,1-19229,3,1-19229,3
273,1-9237,15,1-9237,15
274,1-7744,14,1-7744,14
275,1-4020,11,1-4020,11
276,1-2573,1,1-2573,1
277,1-10060,20,1-10060,20
278,1-7845,20,1-7845,20
279,1-6642,5,1-6642,5
280,1-8314,15,1-8314,15
281,1-3312,6,1-3312,6
282,1-2104,20,1-2104,20
283,1-6909,4,1-6909,4
284,1-2584,10,1-2584,10
285,1-9887,18,1-9887,18
286,1-1770,11,1-1770,11
287,1-2596,10,1-2596,10
288,1-9761,1,1-9761,1
289,1-5549,5,1-5549,5
290,1-3509,18,1-3509,18
291,1-0037,14,1-0037,14
292,1-9740,4,1-9740,4
293,1-1250,17,1-1250,17
294,1-3106,4,1-3106,4
295,1-1942,1,1-1942,1
296,1-0205,1,1-0205,1
297,1-9630,14,1-9630,14
298,1-7481,1,1-7481,1
299,MLG31,19,MLG31,19
300,1-18709,3,1-18709,3
301,1-8400,9,1-8400,9
302,1-9500,15,1-9500,15
303,1-18714,5,1-18714,5
304,1-1592,1,1-1592,1
305,1-8127,2,1-8127,2
306,1-1972,19,1-1972,19
307,1-9739,20,1-9739,20
308,1-4700,8,1-4700,8
309,1-9185,11,1-9185,11
310,1-10071,11,1-10071,11
311,1-8938,4,1-8938,4
312,1-1850,20,1-1850,20
313,1-8641,6,1-8641,6
314,1-4088,1,1-4088,1
315,1-9614,2,1-9614,2
316,1-8181,7,1-8181,7
317,1-9504,19,1-9504,19
318,1-9902,17,1-9902,17
319,1-18935,2,1-18935,2
320,1-18203,9,1-18203,9
321,1-7752,10,1-7752,10
322,1-19549,15,1-19549,15
323,1-13247,8,1-13247,8
324,1-5515,11,1-5515,11
325,1-9338,15,1-9338,15
326,1-0027,7,1-0027,7
327,1-8988,2,1-8988,2
328,1-9110,17,1-9110,17
329,1-5980,4,1-5980,4
330,1-9818,4,1-9818,4
331,1-5981,2,1-5981,2
332,P-16616,17,P-16616,17
