,Exam Group,Exam Block
0,72-0103,10
1,1-9185,14
2,MLG17,4
3,1-8222,8
4,1-6240,19
5,1-5549,21
6,1-8021,17
7,1-8767,1
8,1-8181,20
9,1-8020,21
10,1-7964,14
11,1-9722,6
12,MLG84,16
13,1-9805,14
14,1-6098,7
15,1-8093,11
16,1-9955,7
17,1-18603,11
18,1-3521,4
19,1-2596,7
20,1-5167,11
21,1-3519,15
22,1-7995,12
23,1-2025,3
24,1-7140,22
25,1-9607,9
26,1-9907,10
27,1-18409,1
28,1-10071,19
29,1-18735,1
30,1-8418,3
31,1-8938,7
32,1-0022,11
33,1-7991,10
34,1-6642,6
35,1-2869,21
36,1-2714,6
37,1-5508,19
38,1-2104,1
39,1-7467,17
40,1-7722,2
41,1-7509,12
42,1-1207,10
43,1-8705,6
44,1-5214,4
45,1-9444,18
46,1-8566,12
47,1-19547,18
48,1-0405,20
49,1-2178,13
50,1-8174,1
51,1-9925,9
52,72-12387,8
53,1-9850,4
54,1-8125,5
55,1-8095,15
56,1-5877,5
57,1-1224,9
58,1-17733,9
59,1-9331,16
60,1-18202,4
61,1-7341,13
62,1-9818,21
63,1-7066,8
64,1-9674,9
65,1-8659,18
66,1-7536,4
67,1-7481,17
68,1-7845,5
69,1-18498,13
70,1-2584,12
71,1-6532,5
72,1-9614,7
73,1-5355,13
74,1-8124,9
75,1-8401,6
76,1-8541,20
77,1-2153,11
78,1-4088,12
79,1-9739,21
80,1-9115,10
81,1-7770,17
82,1-17645,7
83,1-18423,2
84,1-18714,14
85,1-8084,14
86,1-9345,8
87,MLG35,12
88,1-5626,16
89,1-18004,10
90,1-19222,17
91,72-12171,19
92,1-7807,18
93,1-20003,16
94,1-3083,21
95,1-3312,11
96,MLG37,1
97,1-9237,21
98,1-8127,8
99,1-5775,12
100,1-19598,7
101,1-9892,10
102,1-3564,13
103,1-8820,9
104,1-8267,18
105,1-1258,13
106,MLG69,20
107,1-6971,8
108,1-9731,7
109,1-9768,10
110,72-18936,5
111,1-19897,4
112,1-10698,5
113,1-4499,1
114,1-7496,18
115,1-3178,17
116,1-20047,6
