,Exam Group,Exam Block
0,72-0103,19
1,1-9185,2
2,MLG17,2
3,1-8222,5
4,1-6240,16
5,1-5549,17
6,1-8021,2
7,1-8767,1
8,1-8181,17
9,1-8020,1
10,1-7964,8
11,1-9722,12
12,MLG84,20
13,1-9805,3
14,1-6098,18
15,1-8093,5
16,1-9955,6
17,1-18603,13
18,1-3521,13
19,1-2596,3
20,1-5167,2
21,1-3519,4
22,1-7995,11
23,1-2025,3
24,1-7140,13
25,1-9607,10
26,1-9907,4
27,1-18409,3
28,1-10071,1
29,1-18735,15
30,1-8418,4
31,1-8938,14
32,1-0022,2
33,1-7991,2
34,1-6642,1
35,1-2869,1
36,1-2714,8
37,1-5508,10
38,1-2104,18
39,1-7467,12
40,1-7722,3
41,1-7509,5
42,1-1207,6
43,1-8705,2
44,1-5214,9
45,1-9444,17
46,1-8566,7
47,1-19547,2
48,1-0405,6
49,1-2178,3
50,1-8174,10
51,1-9925,12
52,72-12387,11
53,1-9850,14
54,1-8125,7
55,1-8095,1
56,1-5877,11
57,1-1224,5
58,1-17733,14
59,1-9331,7
60,1-18202,14
61,1-7341,3
62,1-9818,1
63,1-7066,8
64,1-9674,14
65,1-8659,7
66,1-7536,16
67,1-7481,14
68,1-7845,1
69,1-18498,19
70,1-2584,9
71,1-6532,8
72,1-9614,2
73,1-5355,4
74,1-8124,5
75,1-8401,9
76,1-8541,7
77,1-2153,20
78,1-4088,10
79,1-9739,2
80,1-9115,2
81,1-7770,12
82,1-17645,4
83,1-18423,1
84,1-18714,9
85,1-8084,4
86,1-9345,8
87,MLG35,2
88,1-5626,11
89,1-18004,3
90,1-19222,9
91,72-12171,6
92,1-7807,11
93,1-20003,17
94,1-3083,10
95,1-3312,1
96,MLG37,10
97,1-9237,11
98,1-8127,9
99,1-5775,12
100,1-19598,18
101,1-9892,7
102,1-3564,9
103,1-8820,20
104,1-8267,12
105,1-1258,11
106,MLG69,9
107,1-6971,1
108,1-9731,18
109,1-9768,17
110,72-18936,8
111,1-19897,1
112,1-10698,1
113,1-4499,4
114,1-7496,19
115,1-3178,2
116,1-20047,11
117,1-0358,11
118,1-6543,2
119,1-5929,1
120,1-10232,7
121,1-7070,6
122,MLG42,12
123,MLG55,18
124,1-8427,4
125,1-8622,8
126,1-8488,3
127,1-9643,1
128,1-19286,7
129,1-2573,9
130,1-1833,8
131,1-9283,10
132,1-9110,5
133,1-8576,5
134,1-9465,2
135,1-9712,14
136,1-9549,7
137,1-1972,8
138,1-5515,16
139,1-7863,11
140,1-2294,2
141,MLG45,2
142,P-16454,10
143,1-8928,1
144,1-7744,3
145,MLG06,9
146,1-7453,6
147,1-17657,16
148,1-0001,4
149,MLG58,14
150,1-7005,7
151,1-9870,16
152,1-9500,11
153,1-1350,3
154,1-18994,1
155,1-9447,10
156,1-8634,13
157,1-6061,2
158,1-7599,1
159,1-10696,2
160,1-19813,13
161,MLG41,2
162,1-8067,20
163,1-9137,18
164,1-9740,13
165,1-7721,8
166,MLG40,3
167,1-4929,1
168,1-9655,16
169,1-9606,11
170,1-5043,5
171,1-8100,11
172,1-8573,10
173,1-9588,13
174,MLG38,2
175,1-4910,9
176,1-8042,13
177,1-10948,2
178,1-7525,7
179,1-4052,7
180,1-0037,5
181,1-8641,8
182,1-7752,15
183,1-9496,7
184,1-8074,15
185,1-8906,12
186,72-11994,3
187,1-7321,19
188,1-20167,20
189,1-9156,13
190,1-2382,12
191,1-8328,13
192,1-9770,12
193,1-9553,6
194,1-9253,9
195,1-2670,4
196,1-9646,13
197,1-8646,20
198,1-9839,6
199,MLG39,3
200,1-4634,2
201,1-9902,18
202,1-8988,20
203,1-1250,7
204,1-9733,11
205,1-8018,4
206,1-9752,3
207,1-7058,20
208,1-10468,17
209,1-9938,1
210,1-7842,11
211,1-5406,8
212,1-10922,3
213,1-18563,10
214,1-0053,4
215,1-19839,6
216,1-9887,3
217,1-9630,13
218,1-9416,1
219,1-5653,7
220,MLG73,4
221,1-8023,8
222,1-4149,9
223,1-0205,16
224,1-9227,16
225,1-9650,6
226,1-9996,10
227,1-3068,9
228,1-17835,12
229,1-4361,5
230,1-3089,16
231,1-8450,14
232,1-18371,1
233,MLG07,6
234,MLG29,4
235,1-8113,6
236,1-7024,11
237,1-9667,10
238,1-9855,17
239,1-7042,3
240,MLG33,18
241,1-19448,17
242,1-20791,3
243,1-1015,14
244,MLG57,14
245,1-6647,7
246,MLG56,20
247,1-20467,10
248,1-2400,8
249,1-6931,1
250,1-9333,4
251,1-7268,2
252,1-21195,6
253,1-4649,14
254,1-8379,2
255,1-9946,11
256,1-9277,6
257,1-9504,10
258,1-9516,10
259,1-3596,7
260,1-0129,12
261,1-1942,16
262,1-8623,1
263,1-6927,3
264,P-0009,9
265,1-11330,2
266,1-2103,12
267,1-6181,15
268,MLG44,18
269,1-7839,19
270,1-1390,18
271,1-7897,3
272,1-1570,19
273,1-3589,16
274,1-0033,1
275,1-3216,1
276,1-9495,15
277,1-4051,2
278,1-10762,12
279,MLG43,2
280,1-7608,10
281,1-9995,3
282,1-1608,20
283,1-3535,13
284,1-4136,1
285,1-18615,19
286,1-3587,5
287,1-9836,10
288,1-8590,4
289,1-1592,5
290,1-8341,5
291,MLG02,8
292,1-9997,15
293,1-8066,6
294,1-3509,18
295,1-3639,12
296,1-9404,16
297,1-8352,2
298,1-7019,15
299,MLG54,8
300,1-4020,4
301,1-1177,18
302,MLG51,19
303,1-8157,13
304,1-19004,8
305,1-7866,9
306,1-18377,16
307,1-5530,1
308,1-6743,10
309,1-3516,8
310,1-4855,5
311,1-20578,13
312,1-3108,6
313,1-7521,9
314,1-3139,20
315,1-1769,4
316,1-7441,5
317,1-10978,3
318,1-2324,17
319,1-3584,4
320,MLG13,20
321,1-5172,11
322,1-0296,8
323,1-3647,1
324,1-6734,5
325,1-19924,8
326,1-8826,19
327,P-16616,1
328,1-9497,13
329,1-1317,12
330,1-4531,3
331,MLG75,19
332,MLG78,4
333,1-11329,19
334,1-20641,2
335,1-8910,9
336,1-1827,1
337,1-18613,6
338,1-6296,8
339,1-3523,10
340,1-3362,8
341,1-0031,17
342,MLG65,19
343,1-4319,4
344,1-6035,1
345,1-1131,10
346,MLG32,2
347,1-8188,3
348,1-17758,11
349,1-3052,16
350,1-2282,20
351,1-19229,17
352,MLG63,17
353,MLG50,14
354,1-9417,19
355,1-9498,5
356,1-9761,2
357,1-4760,10
358,1-9831,9
359,1-4417,15
360,1-6611,19
361,1-0008,6
362,1-1462,16
363,1-10785,11
364,1-7682,6
365,MLG48,5
366,1-5163,9
367,1-8544,14
368,1-5197,1
369,1-6594,17
370,MLG62,12
371,1-1580,10
372,1-6916,1
373,1-6918,17
374,1-6919,20
375,MLG14,7
376,1-7874,10
377,1-7213,7
378,1-6561,3
379,1-4640,7
380,1-7004,9
381,1-2335,4
382,1-18558,6
383,1-8551,17
384,1-9270,5
385,1-6974,12
386,MLG68,6
387,1-10539,4
388,MLG49,1
389,1-0278,2
390,MLG64,12
391,MLG30,15
392,1-9609,18
393,1-7819,5
394,1-2423,15
395,1-6787,12
396,1-9963,15
397,1-9808,15
398,1-0303,13
399,MLG60,9
400,1-18709,2
401,1-7204,7
402,1-5744,16
403,1-1770,7
404,1-4682,18
405,1-3104,3
406,1-17907,3
407,1-8421,7
408,MLG53,11
409,1-9645,9
410,MLG12,11
411,MLG15,13
412,1-6858,12
413,1-8314,2
414,1-8285,12
415,1-1957,19
416,1-18203,7
417,1-10451,17
418,1-6216,9
419,1-6692,17
420,1-8172,19
421,1-8398,13
422,1-6878,15
423,1-7122,1
424,1-4700,6
425,1-6006,1
426,1-4355,6
427,1-9379,14
428,1-2701,11
429,1-6693,18
430,1-3141,3
431,1-7614,16
432,1-6914,6
433,1-5654,13
434,MLG59,15
435,1-9610,1
436,1-5161,11
437,1-6980,1
438,MLG10,1
439,MLG72,2
440,MLG52,3
441,1-19166,9
442,MLG11,6
443,1-3447,20
444,1-3217,4
445,1-6538,1
446,1-3534,7
447,1-7152,6
448,1-3106,8
449,1-1935,9
450,1-2297,3
451,1-4098,15
452,1-8529,2
453,1-8397,5
454,1-0272,2
455,1-17790,10
456,1-8186,6
457,1-8503,12
458,1-7182,14
459,1-2545,4
460,1-7993,14
461,1-9651,15
462,1-1183,3
463,1-1989,1
464,1-10060,3
465,1-5913,7
466,1-5981,10
467,1-13247,5
468,1-6228,2
469,1-8578,2
470,1-1204,2
471,1-9794,19
472,1-9518,2
473,1-9452,17
474,1-8400,1
475,1-18234,15
476,1-19205,18
477,1-9055,2
478,1-9394,11
479,1-9286,2
480,1-1005,2
481,1-10038,9
482,1-4390,7
483,1-9491,17
484,MLG31,2
485,1-5980,13
486,1-8678,8
487,1-6900,14
488,1-11350,5
489,1-9578,15
490,1-3551,6
