size_cutoff,reserved,num_blocks,alpha,gamma,delta,vega,theta,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,tradeoff,flpens,objective_0,objective_1,objective_2,objective_3,objective_4,objective_5,objective_6,objective_7
208.0,1.0,20.0,85.75837135314941,33.0895921587944,4.7480508685112,9.177509546279907,3.5728785395622253,1962.6113772392273,81.9497287273407,57.32507109642029,283.8269233703613,3.769498109817505,0.8018080592155457,0.31224989891052246,-128.0,-323.0,-2004.0,-2750.0,-1041.0,-729.0,-15.917553516819572,-30919.0
251.0,2.0,23.0,90.80604195594788,10.935530737042427,4.329522252082825,6.692824363708496,0.7218778878450394,1991.219937801361,15.749582648277283,88.65007758140564,245.8669513463974,2.7276766300201416,0.8831281065940857,0.30744192004203796,-93.0,-399.0,-2006.0,-2707.0,-934.0,-706.0,-16.27125382262997,-38015.0
208.0,6.0,20.0,40.03175288438797,15.475227162241936,9.387900829315186,6.959765553474426,9.5852530002594,1328.981637954712,10.596970468759537,52.66813039779663,341.6658401489258,0.10066613554954529,0.9236661195755005,0.0716552659869194,-232.0,-609.0,-2511.0,-3165.0,-762.0,-510.0,-14.698470948012233,-15614.0
231.0,3.0,20.0,82.90672719478607,43.989110589027405,2.238588333129883,7.0281171798706055,6.2599873542785645,1517.9906487464905,59.945666790008545,31.432127952575684,294.8733985424042,3.1371352672576904,0.3567468523979187,0.7610864639282227,-117.0,-356.0,-1678.0,-3279.0,-987.0,-680.0,-16.16776758409786,-30760.0
259.0,3.0,22.0,65.60180127620697,38.31899851560593,8.993338346481323,5.432374477386475,5.072144269943237,1531.818926334381,29.132893681526184,64.60182070732117,371.242094039917,3.825568199157715,0.05419253185391426,0.7296189665794373,-117.0,-303.0,-1535.0,-3613.0,-1342.0,-844.0,-16.602996941896023,-39265.0
231.0,3.0,20.0,47.904315292835236,40.166734755039215,8.087562322616577,4.352075755596161,0.9854348748922348,1251.637190580368,87.85865306854248,22.10395038127899,265.5795156955719,2.7964539527893066,0.3066904544830322,0.2610105872154236,-111.0,-334.0,-1604.0,-3313.0,-1002.0,-688.0,-16.237186544342507,-30514.0
259.0,3.0,22.0,68.45281779766083,46.905586421489716,2.4089011549949646,0.5448140949010849,1.2735594809055328,1969.5685505867004,38.08770477771759,60.769110918045044,270.8167552947998,0.6095390319824219,0.5875648260116577,0.6022167205810547,-112.0,-399.0,-1788.0,-2982.0,-1395.0,-697.0,-16.170214067278287,-26834.0
208.0,6.0,20.0,68.12637150287628,29.356555342674255,7.288256883621216,9.559546709060669,8.212242126464844,1345.2898859977722,21.58898115158081,93.02721619606018,301.93021297454834,1.6044349670410156,0.06911315023899078,0.09311967343091965,-121.0,-456.0,-1820.0,-3163.0,-1076.0,-776.0,-16.05565749235474,-24710.0
277.0,3.0,20.0,97.66242802143097,5.029453672468662,1.961643397808075,5.7798755168914795,8.44275951385498,1259.2995762825012,72.27123975753784,16.445955634117126,301.7198085784912,2.512742757797241,0.8810758590698242,0.4405278265476227,-195.0,-490.0,-2584.0,-2620.0,-603.0,-367.0,-14.626116207951071,-22035.0
251.0,2.0,23.0,40.22796183824539,28.896736204624176,0.7989265024662018,2.9432490468025208,2.7943307161331177,1990.418255329132,49.56682026386261,17.855124175548553,267.5224483013153,1.5316771268844604,0.47791996598243713,0.6834194660186768,-91.0,-324.0,-1722.0,-3335.0,-1403.0,-820.0,-16.684587155963303,-33830.0
