name,basename,max_slot,conflicts,quints,quads,four in five slots,three in four slots,two in three slots,singular late exam,"two exams, large gap",avg_max,reschedules,back_to_back,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_20,slot_21,slot_22,slot_23,slot_24
Schedule 1,20250619_085106i1fl_test-8485f14a93a83d77dea5fd7400d61c73,23,0.0,0.0,1.0,2.0,319.0,3879.0,998.0,573.0,16.02,79.0,1308.0,1276.0905921459198,58.07045102119446,99.02015924453735,308.4828019142151,2.883327007293701,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
Schedule 2,20250619_085106i2fl_test-26b8661d726d94d58ffe651e78da44d6,23,0.0,0.0,2.0,7.0,264.0,2812.0,1052.0,743.0,16.724892966360855,78.0,1800.0,1600.2328991889954,89.50046896934509,44.45882737636566,228.26755940914157,1.2184406518936155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 3,20250619_085106i3fl_test-723e08fad76fee63378a8ae9475a8193,23,1.0,0.0,3.0,6.0,331.0,3992.0,962.0,569.0,16.08623853211009,65.0,1268.0,1908.803343772888,42.80241429805756,9.519365429878237,292.8805410861969,0.0295640230178833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
Schedule 4,20250619_085106i4fl_test-b1086626a7c4dc36852dea7cd99dc8a7,23,1.0,0.0,3.0,9.0,304.0,3210.0,1056.0,685.0,16.472844036697246,80.0,1600.0,1712.270975112915,69.88085508346558,81.6783607006073,341.1887288093567,3.414536237716675,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
Schedule 5,20250619_085106i5fl_test-f535c1e10c2d32f3566be8c453569234,23,1.0,0.0,3.0,6.0,351.0,3601.0,1291.0,621.0,16.523792048929664,95.0,1483.0,1217.3208594322205,10.993906855583193,58.184510469436646,368.8172698020935,3.821709394454956,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 6,20250619_085106i6fl_test-0fb3d51f1d99325ca3ba7d33418740f2,23,1.0,0.0,6.0,8.0,421.0,4155.0,873.0,679.0,15.510886850152906,110.0,1521.0,1954.3527960777285,67.59043335914612,79.60124611854553,335.6942176818848,0.4867552816867828,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
Schedule 7,20250619_085106i7fl_test-146216c484d39e08894fe1fd67660464,23,0.0,0.0,2.0,14.0,390.0,3914.0,848.0,614.0,15.66275229357798,82.0,1422.0,1778.7005305290222,22.81630039215088,72.10491895675659,380.04482984542847,2.35310697555542,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
Schedule 8,20250619_085106i8fl_test-4f9544bda0446e44616655e422935c9d,23,0.0,0.0,5.0,7.0,395.0,2721.0,895.0,643.0,15.954373088685015,78.0,1946.0,1095.1829999685287,29.637038707733154,20.404043793678284,256.64069056510925,1.561267375946045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 9,20250619_085106i9fl_test-45f6318fbebb60f0ea56a953278e515c,23,0.0,0.0,0.0,2.0,271.0,2926.0,1205.0,691.0,16.484097859327218,83.0,1889.0,1411.4132225513458,76.2986421585083,36.60571277141571,220.54952681064609,0.7493440508842468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 10,20250619_085106i10fl_test-e3df529eb52344b4374f972a16bfb9ca,23,0.0,1.0,2.0,11.0,250.0,3007.0,880.0,633.0,16.06183486238532,83.0,1809.0,1352.9509007930756,32.8916609287262,18.31700950860977,263.6992156505585,2.5983245372772217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
