exam,size
1-0001,17
1-0003,17
1-0008,230
1-0022,18
1-0027,29
1-0031,13
1-0033,10
1-0037,35
1-0053,142
1-0055,18
1-0129,142
1-0205,34
1-0272,111
1-0278,79
1-0292,99
1-0296,41
1-0303,212
1-0358,22
1-0405,64
1-10038,76
1-1005,125
1-10060,36
1-10071,30
1-1015,155
1-10232,5
1-10444,8
1-10451,46
1-10468,549
1-10539,63
1-10696,24
1-10698,6
1-10762,6
1-10785,279
1-10922,1
1-10948,2
1-10951,1
1-10978,1
1-11206,14
1-1131,138
1-11329,14
1-11330,14
1-11350,100
1-1177,17
1-1183,45
1-1191,53
1-1204,39
1-1207,66
1-1224,151
1-1250,34
1-1258,435
1-1317,414
1-13247,29
1-1350,195
1-1390,98
1-1462,192
1-1570,142
1-1580,400
1-1592,32
1-1608,307
1-17645,9
1-17657,8
1-1769,89
1-1770,35
1-17733,74
1-17758,40
1-17790,5
1-17835,17
1-17907,119
1-18004,12
1-18028,309
1-18202,23
1-18203,29
1-18234,43
1-1827,24
1-1833,124
1-1836,20
1-18371,120
1-18377,14
1-18409,22
1-18423,47
1-18487,23
1-18498,13
1-1850,30
1-18558,307
1-18563,8
1-18603,19
1-18613,25
1-18615,22
1-18709,33
1-18714,32
1-18735,27
1-18935,30
1-18994,28
1-19004,60
1-19166,45
1-19205,12
1-19222,15
1-19229,38
1-19286,40
1-1935,12
1-1942,34
1-19447,15
1-19448,45
1-19547,66
1-19549,29
1-19567,2
1-19568,2
1-1957,47
1-19598,11
1-1972,32
1-19813,20
1-19839,13
1-1989,46
1-19897,53
1-19915,62
1-19924,1
1-19927,1
1-20003,21
1-20012,12
1-20047,20
1-20167,56
1-2025,41
1-2034,16
1-20467,13
1-20578,19
1-20641,16
1-20791,13
1-2103,26
1-2104,36
1-21192,4
1-21195,1
1-2153,13
1-2178,12
1-2282,219
1-2294,75
1-2297,25
1-2324,25
1-2335,145
1-2382,139
1-2400,49
1-2423,79
1-2545,145
1-2573,37
1-2584,36
1-2596,35
1-2670,104
1-2701,61
1-2714,61
1-2869,9
1-3033,7
1-3052,166
1-3068,180
1-3083,78
1-3087,26
1-3089,16
1-3104,16
1-3106,34
1-3108,18
1-3139,93
1-3141,136
1-3175,6
1-3176,3
1-3178,6
1-3206,45
1-3216,5
1-3217,5
1-3265,19
1-3312,36
1-3362,117
1-3447,110
1-3509,35
1-3516,156
1-3519,27
1-3521,22
1-3523,543
1-3534,279
1-3535,315
1-3551,6
1-3564,41
1-3584,26
1-3587,46
1-3589,27
1-3596,223
1-3639,17
1-3646,7
1-3647,5
1-4020,37
1-4051,5
1-4052,13
1-4088,30
1-4098,16
1-4136,5
1-4149,16
1-4319,163
1-4355,49
1-4361,10
1-4390,45
1-4417,151
1-4494,16
1-4499,12
1-4531,94
1-4634,48
1-4640,87
1-4649,244
1-4682,16
1-4700,31
1-4747,25
1-4760,40
1-4842,6
1-4847,2
1-4855,22
1-4910,4
1-4926,4
1-4929,10
1-5002,45
1-5036,14
1-5043,123
1-5161,12
1-5163,16
1-5167,24
1-5172,120
1-5197,72
1-5214,40
1-5282,17
1-5355,53
1-5406,10
1-5413,39
1-5424,5
1-5425,17
1-5508,38
1-5515,29
1-5530,7
1-5531,8
1-5549,35
1-5555,10
1-5626,125
1-5653,11
1-5654,15
1-5744,18
1-5775,244
1-5799,7
1-5803,15
1-5877,79
1-5891,96
1-5913,14
1-5914,3
1-5929,4
1-5980,29
1-5981,28
1-5990,5
1-6006,57
1-6028,2
1-6035,23
1-6061,40
1-6098,1327
1-6181,659
1-6216,45
1-6217,44
1-6227,52
1-6228,48
1-6240,698
1-6296,254
1-6531,27
1-6532,27
1-6538,44
1-6543,12
1-6561,65
1-6594,70
1-6611,89
1-6642,36
1-6647,62
1-6692,71
1-6693,98
1-6718,20
1-6734,44
1-6743,58
1-6787,56
1-6858,23
1-6878,167
1-6900,67
1-6909,36
1-6914,73
1-6916,43
1-6918,43
1-6919,43
1-6927,179
1-6931,1
1-6971,10
1-6974,207
1-6980,128
1-7004,381
1-7005,285
1-7019,107
1-7024,498
1-7042,117
1-7058,80
1-7066,23
1-7070,129
1-7122,197
1-7140,397
1-7152,109
1-7182,22
1-7204,26
1-7213,23
1-7268,70
1-7321,7
1-7341,110
1-7441,111
1-7453,13
1-7467,64
1-7481,33
1-7496,246
1-7509,40
1-7521,10
1-7525,6
1-7527,1
1-7530,25
1-7536,17
1-7599,3
1-7608,4
1-7614,72
1-7682,141
1-7721,20
1-7722,60
1-7744,37
1-7752,29
1-7770,11
1-7807,239
1-7819,59
1-7839,24
1-7842,21
1-7845,36
1-7863,351
1-7866,318
1-7874,258
1-7897,95
1-7964,202
1-7991,46
1-7993,24
1-7995,14
1-8018,58
1-8020,56
1-8021,58
1-8023,16
1-8042,52
1-8066,86
1-8067,322
1-8074,145
1-8084,82
1-8093,4
1-8094,58
1-8095,46
1-8100,19
1-8113,9
1-8124,18
1-8125,21
1-8127,32
1-8157,75
1-8172,40
1-8174,45
1-8181,30
1-8186,26
1-8188,140
1-8222,12
1-8267,133
1-8285,72
1-8314,36
1-8328,114
1-8341,197
1-8352,1
1-8379,5
1-8397,51
1-8398,54
1-8400,33
1-8401,57
1-8418,46
1-8421,109
1-8427,189
1-8450,52
1-8488,23
1-8493,38
1-8503,16
1-8529,56
1-8532,4
1-8541,232
1-8544,54
1-8551,38
1-8566,5
1-8573,184
1-8576,55
1-8578,11
1-8590,24
1-8622,54
1-8623,5
1-8627,25
1-8634,10
1-8641,30
1-8646,20
1-8659,91
1-8678,17
1-8705,48
1-8767,48
1-8820,83
1-8826,123
1-8906,15
1-8910,137
1-8928,39
1-8938,30
1-8988,29
1-9034,3
1-9055,12
1-9076,9
1-9110,29
1-9115,16
1-9137,111
1-9156,268
1-9185,31
1-9227,801
1-9237,38
1-9253,24
1-9270,128
1-9277,48
1-9283,235
1-9286,81
1-9331,25
1-9333,102
1-9338,29
1-9345,47
1-9379,58
1-9394,117
1-9404,100
1-9416,13
1-9417,76
1-9436,21
1-9444,24
1-9447,7
1-9452,16
1-9455,2
1-9457,11
1-9465,18
1-9491,80
1-9495,18
1-9496,39
1-9497,150
1-9498,64
1-9500,33
1-9504,30
1-9516,76
1-9518,22
1-9549,18
1-9553,23
1-9576,10
1-9578,42
1-9588,14
1-9606,16
1-9607,19
1-9609,25
1-9610,49
1-9614,30
1-9630,33
1-9643,8
1-9645,69
1-9646,105
1-9650,25
1-9651,38
1-9655,27
1-9667,14
1-9674,144
1-9697,20
1-9712,10
1-9722,22
1-9731,11
1-9733,4
1-9739,31
1-9740,34
