triplets,co
"('MLG54', 'MLG62', '1-7024')",128
"('1-7024', 'MLG62', 'MLG54')",128
"('MLG62', 'MLG54', '1-7024')",128
"('MLG62', '1-7024', 'MLG54')",128
"('MLG54', '1-7024', 'MLG62')",128
"('1-7024', 'MLG54', 'MLG62')",128
"('MLG57', '1-6974', '1-7122')",108
"('MLG57', '1-7122', '1-6974')",108
"('1-7122', '1-6974', 'MLG57')",108
"('1-6974', 'MLG57', '1-7122')",108
"('1-6974', '1-7122', 'MLG57')",108
"('1-7122', 'MLG57', '1-6974')",108
"('1-8401', '1-8541', '1-8541')",100
"('1-8541', '1-8541', '1-8401')",100
"('1-8541', '1-8401', '1-8541')",100
"('1-7122', '1-6974', 'MLG65')",69
"('MLG65', '1-6974', '1-7122')",69
"('1-6974', 'MLG65', '1-7122')",69
"('1-7122', 'MLG65', '1-6974')",69
"('MLG65', '1-7122', '1-6974')",69
"('1-6974', '1-7122', 'MLG65')",69
"('1-8573', '1-8573', '1-0008')",60
"('1-8573', '1-0008', '1-8573')",60
"('1-0008', '1-8573', '1-8573')",60
"('MLG07', 'MLG08', 'MLG09')",60
"('MLG07', 'MLG09', 'MLG08')",60
"('MLG08', 'MLG07', 'MLG09')",60
"('MLG08', 'MLG09', 'MLG07')",60
"('MLG09', 'MLG07', 'MLG08')",60
"('MLG09', 'MLG08', 'MLG07')",60
"('1-7964', '1-7897', '1-7964')",52
"('1-7964', '1-7964', '1-7897')",52
"('1-7897', '1-7964', '1-7964')",52
"('1-18028', '1-8573', '1-8573')",50
"('MLG54', 'MLG48', 'MLG62')",50
"('MLG54', 'MLG62', 'MLG48')",50
"('MLG48', 'MLG54', 'MLG62')",50
"('MLG48', 'MLG62', 'MLG54')",50
"('MLG62', 'MLG54', 'MLG48')",50
"('MLG62', 'MLG48', 'MLG54')",50
"('1-8573', '1-8573', '1-18028')",50
"('1-8573', '1-18028', '1-8573')",50
"('1-7058', '1-6980', '1-8910')",47
"('1-6980', '1-8910', '1-7058')",47
"('1-8910', '1-6980', '1-7058')",47
"('1-8910', '1-7058', '1-6980')",47
"('1-7058', '1-8910', '1-6980')",47
"('1-6980', '1-7058', '1-8910')",47
"('MLG54', 'MLG62', '1-1258')",45
"('MLG54', '1-1258', 'MLG62')",45
"('MLG62', '1-1258', 'MLG54')",45
"('MLG62', 'MLG54', '1-1258')",45
"('1-1258', 'MLG62', 'MLG54')",45
"('1-1258', 'MLG54', 'MLG62')",45
"('1-7964', '1-7964', '1-6098')",44
"('1-7964', '1-6098', '1-7964')",44
"('1-6098', '1-7964', '1-7964')",44
"('1-6916', '1-6918', '1-6919')",43
"('1-6916', '1-6919', '1-6918')",43
"('1-6918', '1-6916', '1-6919')",43
"('1-6918', '1-6919', '1-6916')",43
"('1-6919', '1-6916', '1-6918')",43
"('1-6919', '1-6918', '1-6916')",43
"('MLG57', '1-6914', '1-7614')",39
"('MLG57', '1-7614', '1-6914')",39
"('1-6974', '1-6098', '1-7122')",39
"('1-7122', '1-6974', '1-6098')",39
"('1-6974', '1-7122', '1-6098')",39
"('1-7122', '1-6098', '1-6974')",39
"('1-7614', 'MLG57', '1-6914')",39
"('1-6914', 'MLG57', '1-7614')",39
"('1-6098', '1-6974', '1-7122')",39
"('1-6914', '1-7614', 'MLG57')",39
"('1-7614', '1-6914', 'MLG57')",39
"('1-6098', '1-7122', '1-6974')",39
"('1-8573', '1-18028', '1-0008')",38
"('1-0008', '1-18028', '1-8573')",38
"('1-18028', '1-0008', '1-8573')",38
"('1-8573', '1-0008', '1-18028')",38
"('1-18028', '1-8573', '1-0008')",38
"('1-0008', '1-8573', '1-18028')",38
"('72-0103', '1-0405', 'MLG17')",35
"('1-0405', '72-0103', 'MLG17')",35
"('1-1608', 'MLG68', 'MLG50')",35
"('1-1608', 'MLG50', 'MLG68')",35
"('1-0405', 'MLG17', '72-0103')",35
"('MLG68', '1-1608', 'MLG50')",35
"('MLG50', '1-1608', 'MLG68')",35
"('MLG50', 'MLG68', '1-1608')",35
"('72-0103', 'MLG17', '1-0405')",35
"('MLG17', '1-0405', '72-0103')",35
"('MLG17', '72-0103', '1-0405')",35
"('MLG68', 'MLG50', '1-1608')",35
