exam,courses
1-0001,['FDSC-4220']
1-0003,['LING-1109']
1-0008,['ILRGL-2300']
1-0022,['AEM-7020']
1-0027,['GDEV-2010']
1-0031,['COMM-3250']
1-0033,['CHEM-3900']
1-0037,['HADM-3275']
1-0053,['VISST-2000']
1-0055,['HADM-4285']
1-0129,['BTRY-3020']
1-0205,['BIOEE-3690']
1-0272,['ENGRD-2100']
1-0278,['CEE-3230']
1-0292,['ENGRD-2300']
1-0296,['MSE-2620']
1-0303,['NTRES-2201']
1-0358,['BIONB-4910']
1-0405,['CRP-4590']
1-10038,['COMM-2820']
1-1005,['COMM-2760']
1-10060,['BEE-2220']
1-10071,['MSE-6010']
1-1015,['ANSC-2400']
1-10232,['GREEK-6102']
1-10444,['HADM-3430']
1-10451,['HADM-2220']
1-10468,['PSYCH-1101']
1-10539,['ECON-4600']
1-10696,['FSAD-3330']
1-10698,['MAE-6560']
1-10762,['PLSCI-5700']
1-10785,['CS-3410']
1-10922,['MAE-5135']
1-10948,['MAE-5230']
1-10951,['MAE-5510']
1-10978,['CEE-5610']
1-11206,['HE-2300']
1-1131,['BIOMG-3300']
1-11329,['ANSC-1400']
1-11330,['ANSC-1400']
1-11350,['CHEM-3570']
1-1177,['PHYS-3360']
1-1183,['FDSC-2100']
1-1191,['PHYS-2217']
1-1204,['MSE-2060']
1-1207,['MSE-3040']
1-1224,['ORIE-3510']
1-1250,['MAE-4230']
1-1258,['CS-2110']
1-1317,['ILRST-2100']
1-13247,['CEE-3510']
1-1350,['PSYCH-2090']
1-1390,['BIOMI-2911']
1-1462,['BIOMI-2900']
1-1570,['BIOMG-2800']
1-1580,['BIOMG-1350']
1-1592,['BIOMG-4320']
1-1608,['BIOG-1440']
1-17645,['GERST-6320']
1-17657,['BIONB-4220']
1-1769,['ILRST-2110']
1-1770,['BIOMI-2600']
1-17733,['MATH-2310']
1-17758,['PLSCI-2490']
1-17790,['FREN-2080']
1-17835,['BIOEE-4660']
1-17907,['BIOMI-1100']
1-18004,['ECON-4620']
1-18028,['ILRID-1535']
1-18202,['ILRHR-6620']
1-18203,['HADM-2011']
1-18234,['GOVT-2162']
1-1827,['COMM-3010']
1-1833,['ORIE-3310']
1-1836,['PLSCI-1130']
1-18371,['ECON-4660']
1-18377,['ECON-4903']
1-18409,['CHEM-6290']
1-18423,['ORIE-5650']
1-18487,['PHIL-2611']
1-18498,['CHEM-7940']
1-1850,['PLSCI-4950']
1-18558,['EAS-1700']
1-18563,['EAS-4561']
1-18603,['CEE-6590']
1-18613,['BIOG-1180']
1-18615,['BIOMI-2970']
1-18709,['ASL-1100']
1-18714,['MSE-5240']
1-18735,['MSE-6030']
1-18935,['COMM-2200']
1-18994,['CS-1700']
1-19004,['AEM-4190']
1-19166,['AEM-3100']
1-19205,['AEM-4100']
1-19222,['AEM-6400']
1-19229,['AEM-4300']
1-19286,['AEM-5241']
1-1935,['FDSC-4190']
1-1942,['PLSCI-1420']
1-19447,['GOVT-3596']
1-19448,['GOVT-3777']
1-19547,['CS-5430']
1-19549,['DEA-2700']
1-19567,['SWAHL-1100']
1-19568,['SWAHL-1100']
1-1957,['PLSCI-1150']
1-19598,['ECON-7115']
1-1972,['ENTOM-3030']
1-19813,['CS-5643']
1-19839,['MAE-6510']
1-1989,['FDSC-2110']
1-19897,['CS-6110']
1-19915,['INFO-2951']
1-19924,['PMA-6680']
1-19927,['MAE-6540']
1-20003,['AEM-6940']
1-20012,['GOVT-2847']
