Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-9123,13,15,1-9123,24,1,0,2,2.312929153442383,0.09637204806009929
1-6533,5,21,1-6533,21,2,0,0,2.0,0.09523809523809523
1-11205,13,15,1-11205,56,4,0,2,5.312929153442383,0.0948737348828997
1-7539,24,23,1-7539,91,4,0,7,8.59525203704834,0.09445331908844329
1-18507,5,21,1-18507,320,13,0,26,30.068078994750977,0.0939627468585968
MLG51,19,18,MLG51,99,6,0,5,9.282322883605957,0.09376083720814098
1-9543,9,9,1-9543,39,3,0,1,3.6564645767211914,0.09375550196721004
1-6835,13,15,1-6835,36,2,0,2,3.312929153442383,0.09202580981784397
1-3300,12,8,1-3300,29,2,0,1,2.6564645767211914,0.09160222678348937
1-0337,2,2,1-0337,11,1,0,0,1.0,0.09090909090909091
1-10800,24,24,1-10800,55,5,0,0,5.0,0.09090909090909091
1-1367,23,23,1-1367,66,4,0,3,5.969393730163574,0.09044535954793294
1-7781,14,14,1-7781,33,1,0,3,2.969393730163574,0.08998162818677498
1-6727,24,24,1-6727,235,8,0,20,21.129291534423828,0.08991187886988863
1-20040,24,24,1-20040,22,0,0,3,1.9693937301635742,0.089517896825617
1-19109,4,4,1-19109,30,0,0,4,2.6258583068847656,0.08752861022949218
1-7910,7,6,1-7910,15,0,0,2,1.3129291534423828,0.08752861022949218
1-8928,7,6,1-8928,30,0,0,4,2.6258583068847656,0.08752861022949218
1-6168,9,9,1-6168,31,0,0,4,2.6258583068847656,0.08470510667370211
1-3509,14,14,1-3509,150,8,0,7,12.59525203704834,0.0839683469136556
1-5271,1,11,1-5271,12,1,0,0,1.0,0.08333333333333333
1-7712,15,13,1-7712,12,1,0,0,1.0,0.08333333333333333
1-11522,24,24,1-11522,24,2,0,0,2.0,0.08333333333333333
1-7715,21,21,1-7715,20,1,0,1,1.6564645767211914,0.08282322883605957
1-6492,10,8,1-6492,48,2,0,3,3.969393730163574,0.08269570271174113
1-8284,4,4,1-8284,48,0,0,6,3.9387874603271484,0.08205807209014893
1-6015,24,24,1-6015,8,0,0,1,0.6564645767211914,0.08205807209014893
1-6558,24,11,1-6558,24,0,0,3,1.9693937301635742,0.08205807209014893
1-7589,13,15,1-7589,95,1,0,10,7.564645767211914,0.07962785018117804
1-9515,18,17,1-9515,66,0,0,8,5.251716613769531,0.0795714638449929
1-3405,1,1,1-3405,72,5,0,1,5.656464576721191,0.07856200801001655
1-7581,10,8,1-7581,42,0,0,5,3.282322883605957,0.07815054484776088
1-9276,14,14,1-9276,77,2,0,6,5.938787460327148,0.07712710987437855
MLG40,22,22,MLG40,30,1,0,2,2.312929153442383,0.07709763844807943
1-7647,9,9,1-7647,30,1,0,2,2.312929153442383,0.07709763844807943
1-7390,20,20,1-7390,43,2,0,2,3.312929153442383,0.07704486403354378
1-3631,23,24,1-3631,13,1,0,0,1.0,0.07692307692307693
1-3364,24,24,1-3364,121,4,0,8,9.251716613769531,0.07646046788239282
1-1636,9,11,1-1636,22,1,0,1,1.6564645767211914,0.07529384439641779
MLG77,4,4,MLG77,9,0,0,1,0.6564645767211914,0.07294050852457683
MLG32,20,20,MLG32,79,5,0,1,5.656464576721191,0.07160081742685052
1-9267,11,10,1-9267,14,1,0,0,1.0,0.07142857142857142
1-9203,12,16,1-9203,14,1,0,0,1.0,0.07142857142857142
MLG45,20,20,MLG45,179,10,0,4,12.625858306884766,0.07053552126751265
1-8055,24,24,1-8055,57,4,0,0,4.0,0.07017543859649122
1-4011,24,24,1-4011,246,8,0,14,17.19050407409668,0.06988009786218162
1-8986,24,24,1-8986,57,2,0,3,3.969393730163574,0.06963848649409779
1-9114,1,1,1-9114,120,1,0,11,8.221110343933105,0.06850925286610922
1-1025,10,8,1-1025,48,0,0,5,3.282322883605957,0.06838172674179077
1-8914,24,24,1-8914,25,1,0,1,1.6564645767211914,0.06625858306884766
